race_rule,popularity_range,race_count,points_per_race,total_bet,hit_count,hit_rate,total_return,roi,profit,avg_hit_payout,max_hit_payout
top_20,100-300,20,201,402000,7,0.35,429400,1.0681592039800996,27400,61342.857142857145,115420
top_20,150-400,20,251,502000,7,0.35,497280,0.990597609561753,-4720,71040.0,115420
top_20,50-300,20,251,502000,10,0.5,492380,0.9808366533864542,-9620,49238.0,115420
top_20,50-200,20,151,302000,7,0.35,294820,0.9762251655629139,-7180,42117.142857142855,89050
top_50,50-200,50,151,755000,21,0.42,731140,0.9683973509933775,-23860,34816.19047619047,89050
top_50,30-200,50,171,855000,28,0.56,816710,0.9552163742690059,-38290,29168.214285714286,89050
top_50,30-150,50,121,605000,24,0.48,569980,0.9421157024793388,-35020,23749.166666666668,46650
top_50,20-100,50,81,405000,21,0.42,372290,0.9192345679012346,-32710,17728.095238095237,33180
top_100,30-150,100,121,1210000,47,0.47,1102110,0.9108347107438016,-107890,23449.14893617021,46650
top_20,30-200,20,171,342000,8,0.4,304820,0.8912865497076023,-37180,38102.5,89050
top_50,1-100,50,100,500000,36,0.72,441230,0.88246,-58770,12256.388888888889,33180
top_100,20-100,100,81,810000,44,0.44,707220,0.8731111111111111,-102780,16073.181818181818,33180
top_30,50-200,30,151,453000,11,0.36666666666666664,380600,0.8401766004415011,-72400,34600.0,89050
top_100,1-100,100,100,1000000,77,0.77,836120,0.83612,-163880,10858.701298701299,33180
top_3pct,100-300,399,201,8019900,93,0.23308270676691728,6603220,0.8233544059152857,-1416680,71002.36559139784,286320
top_100,1-50,100,50,500000,59,0.59,411020,0.82204,-88980,6966.440677966101,15780
score>=0.60,100-300,390,201,7839000,91,0.23333333333333334,6380220,0.8139073861461921,-1458780,70112.30769230769,286320
top_300,50-200,300,151,4530000,97,0.3233333333333333,3679780,0.8123134657836645,-850220,37935.87628865979,89380
top_100,30-200,100,171,1710000,52,0.52,1388240,0.8118362573099415,-321760,26696.923076923078,89050
top_3pct,50-300,399,251,10014900,158,0.39598997493734334,8127510,0.8115418027139562,-1887390,51439.93670886076,286320
top_300,100-300,300,201,6030000,71,0.23666666666666666,4884590,0.8100480928689884,-1145410,68797.04225352113,286320
top_30,30-200,30,171,513000,14,0.4666666666666667,415530,0.81,-97470,29680.714285714286,89050
top_300,30-200,300,171,5130000,134,0.44666666666666666,4152840,0.8095204678362573,-977160,30991.34328358209,89380
score>=0.60,50-300,390,251,9789000,154,0.39487179487179486,7854720,0.8024026969046889,-1934280,51004.67532467532,286320
top_300,50-300,300,251,7530000,120,0.4,6022790,0.7998393094289509,-1507210,50189.916666666664,286320
score>=0.60,50-200,390,151,5889000,125,0.32051282051282054,4708310,0.7995092545423671,-1180690,37666.48,89380
score>=0.55,1-50,575,50,2875000,361,0.6278260869565218,2294350,0.7980347826086956,-580650,6355.540166204986,20300
score>=0.60,30-200,390,171,6669000,172,0.441025641025641,5311690,0.7964747338431549,-1357310,30881.918604651164,89380
top_5pct,20-100,666,81,5394600,254,0.3813813813813814,4270090,0.7915489563637712,-1124510,16811.377952755905,50600
top_3pct,50-200,399,151,6024900,127,0.3182957393483709,4758100,0.7897392487842122,-1266800,37465.35433070866,89380
score>=0.55,20-100,575,81,4657500,222,0.38608695652173913,3677150,0.7895115405260332,-980350,16563.73873873874,50600
top_3pct,30-200,399,171,6822900,174,0.43609022556390975,5361480,0.7858066218177021,-1461420,30813.103448275862,89380
top_100,50-200,100,151,1510000,35,0.35,1183290,0.783635761589404,-326710,33808.28571428572,89050
score>=0.60,30-150,390,121,4719000,147,0.3769230769230769,3685230,0.7809345200254291,-1033770,25069.591836734693,64310
top_5pct,1-100,666,100,6660000,523,0.7852852852852853,5194470,0.7799504504504504,-1465530,9932.065009560229,50600
score>=0.55,1-100,575,100,5750000,451,0.7843478260869565,4463000,0.7761739130434783,-1287000,9895.787139689579,50600
top_3pct,30-150,399,121,4827900,149,0.37343358395989973,3735020,0.7736324281778827,-1092880,25067.24832214765,64310
top_5pct,1-50,666,50,3330000,415,0.6231231231231231,2574690,0.7731801801801802,-755310,6204.0722891566265,20300
top_30,50-300,30,251,753000,14,0.4666666666666667,578160,0.7678087649402391,-174840,41297.142857142855,115420
top_3pct,20-100,399,81,3231900,150,0.37593984962406013,2480150,0.7673968872799282,-751750,16534.333333333332,42810
score>=0.60,20-100,390,81,3159000,147,0.3769230769230769,2421390,0.7665052231718898,-737610,16472.04081632653,42810
top_300,20-100,300,81,2430000,113,0.37666666666666665,1861310,0.7659711934156379,-568690,16471.769911504423,37900
score>=0.60,1-50,390,50,1950000,229,0.5871794871794872,1483810,0.7609282051282051,-466190,6479.519650655022,19750
score>=0.50,1-50,793,50,3965000,510,0.6431273644388399,3016830,0.7608650693568726,-948170,5915.35294117647,20300
top_5pct,30-150,666,121,8058600,247,0.3708708708708709,6088170,0.7554873054873055,-1970430,24648.46153846154,74930
top_3pct,1-50,399,50,1995000,234,0.5864661654135338,1506170,0.7549724310776942,-488830,6436.623931623932,19750
top_3pct,1-100,399,100,3990000,297,0.7443609022556391,3002360,0.7524711779448622,-987640,10108.95622895623,42810
top_300,1-50,300,50,1500000,173,0.5766666666666667,1127020,0.7513466666666667,-372980,6514.56647398844,19750
score>=0.60,1-100,390,100,3900000,290,0.7435897435897436,2930210,0.7513358974358975,-969790,10104.172413793103,42810
top_300,1-100,300,100,3000000,221,0.7366666666666667,2252100,0.7507,-747900,10190.497737556561,37900
score>=0.55,30-150,575,121,6957500,213,0.37043478260869567,5209560,0.7487689543657923,-1747940,24458.028169014084,74930
score>=0.50,1-100,793,100,7930000,630,0.7944514501891551,5931470,0.7479785624211853,-1998530,9415.031746031746,50600
top_30,100-300,30,201,603000,8,0.26666666666666666,450530,0.7471475953565506,-152470,56316.25,115420
score>=0.50,20-100,793,81,6423300,285,0.3593947036569987,4766750,0.7421029688789251,-1656550,16725.43859649123,50600
top_50,50-300,50,251,1255000,24,0.48,928700,0.74,-326300,38695.833333333336,115420
top_30,1-100,30,100,300000,21,0.7,221780,0.7392666666666666,-78220,10560.952380952382,23110
score>=0.50,30-150,793,121,9595300,278,0.3505674653215637,7084600,0.738340645941242,-2510700,25484.172661870503,145740
top_30,20-100,30,81,243000,11,0.36666666666666664,178250,0.7335390946502057,-64750,16204.545454545454,23110
top_5pct,30-200,666,171,11388600,282,0.42342342342342343,8346180,0.7328539065381171,-3042420,29596.382978723403,99960
score>=0.55,30-200,575,171,9832500,244,0.42434782608695654,7196690,0.7319288075260615,-2635810,29494.631147540982,89380
top_300,30-150,300,121,3630000,111,0.37,2655940,0.73166391184573,-974060,23927.38738738739,60980
top_5pct,50-200,666,151,10056600,198,0.2972972972972973,7270990,0.7230067816160531,-2785610,36722.17171717172,99960
score>=0.55,50-200,575,151,8682500,169,0.29391304347826086,6227240,0.7172173913043478,-2455260,36847.57396449704,89380
score>=0.50,30-200,793,171,13560300,317,0.39974779319041615,9721700,0.7169236668805262,-3838600,30667.82334384858,145740
score>=0.50,50-200,793,151,11974300,225,0.2837326607818411,8548790,0.7139281628153629,-3425510,37994.62222222222,145740
top_5pct,50-300,666,251,16716600,240,0.36036036036036034,11921420,0.7131486067741047,-4795180,49672.583333333336,286320
top_50,1-50,50,50,250000,25,0.5,178130,0.71252,-71870,7125.2,15340
top_5pct,100-300,666,201,13386600,129,0.19369369369369369,9255310,0.6913861622816847,-4131290,71746.58914728682,286320
score>=0.50,50-300,793,251,19904300,271,0.3417402269861286,13706290,0.6886094964404676,-6198010,50576.71586715867,286320
score>=0.55,50-300,575,251,14432500,203,0.35304347826086957,9902530,0.686127143599515,-4529970,48780.93596059113,286320
score>=0.50,100-300,793,201,15939300,147,0.1853720050441362,10728070,0.6730577879831611,-5211230,72980.06802721089,286320
score>=0.55,100-300,575,201,11557500,110,0.19130434782608696,7687550,0.6651568245727882,-3869950,69886.81818181818,286320
top_50,100-300,50,201,1005000,13,0.26,665600,0.6622885572139303,-339400,51200.0,115420
top_30,150-400,30,251,753000,7,0.23333333333333334,497280,0.660398406374502,-255720,71040.0,115420
top_30,1-50,30,50,150000,15,0.5,94150,0.6276666666666667,-55850,6276.666666666667,15340
top_300,150-400,300,251,7530000,51,0.17,4578350,0.6080146082337318,-2951650,89771.56862745098,286320
top_30,30-150,30,121,363000,11,0.36666666666666664,218460,0.6018181818181818,-144540,19860.0,34770
top_3pct,150-400,399,251,10014900,62,0.15538847117794485,5891110,0.5882345305494813,-4123790,95017.90322580645,286320
score>=0.60,150-400,390,251,9789000,60,0.15384615384615385,5668110,0.579028501379099,-4120890,94468.5,286320
top_20,1-100,20,100,200000,12,0.6,110580,0.5529,-89420,9215.0,22790
top_100,50-300,100,251,2510000,38,0.38,1380850,0.5501394422310757,-1129150,36338.15789473684,115420
top_5pct,150-400,666,251,16716600,87,0.13063063063063063,8918630,0.5335193759496548,-7797970,102512.98850574713,332500
score>=0.55,150-400,575,251,14432500,75,0.13043478260869565,7672610,0.5316203014030834,-6759890,102301.46666666666,332500
score>=0.50,150-400,793,251,19904300,97,0.1223203026481715,10109770,0.5079188918977307,-9794530,104224.43298969071,332500
top_20,20-100,20,81,162000,5,0.25,80780,0.49864197530864196,-81220,16156.0,22790
top_20,1-50,20,50,100000,9,0.45,47600,0.476,-52400,5288.888888888889,10000
top_100,100-300,100,201,2010000,20,0.2,955750,0.47549751243781097,-1054250,47787.5,115420
top_20,30-150,20,121,242000,5,0.25,107750,0.4452479338842975,-134250,21550.0,34770
top_50,150-400,50,251,1255000,8,0.16,546940,0.43580876494023907,-708060,68367.5,115420
top_100,150-400,100,251,2510000,11,0.11,915780,0.36485258964143424,-1594220,83252.72727272728,189590
