feature,importance
place,19783
odds,9053
score_1_3_gap,3594
score_2_3_gap,3534
score_1_2_gap,3498
second_place_rate,3113
first_place_rate,3097
win_rate_ticket_avg,3060
third_place_rate,3040
place_rate_ticket_avg,2835
avg_age,2793
third_win_rate,2713
first_win_rate,2709
first_age,2642
second_win_rate,2621
avg_place_rate,2610
second_age,2604
avg_win_rate,2582
score_gap,2566
std_score,2542
third_age,2491
max_place_rate,2427
max_win_rate,2343
third_score,2031
second_score,2017
first_score,1989
min_score,1643
max_score,1596
score_ticket_avg,1512
avg_score,1350
third_car,1329
month,1312
second_car,1293
wind_speed,1286
first_car,1235
race_no,1043
estimated_payout,1030
front_runner_pressure,631
first_style,624
ryo_count,582
second_style,575
third_style,571
oikomi_count,571
weather,486
year,452
nige_count,285
racer_count,197
is_rain,98
is_strong_wind,12
makuri_count,0
sashi_count,0
