rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_direct_expected_return,avg_hit_payout,max_hit_payout,max_hit_share
odds_10plus_score>=0.9_top1,7599,7599,1.0,759900,3933520,3173620,5.176365311225161,5.171956836425846,2333,0.3070140808001053,0.3070140808001053,0.9440034553320434,0.9000051206590312,17.832530596131072,17.2,1674.9036221969136,1686.0351478782684,3350,0.0008516544977526491
odds_all_top1_by_direct_ticket_score,13326,13326,1.0,1332600,6770520,5437920,5.0806843764070235,5.070883986192406,4925,0.3695782680474261,0.3695782680474261,0.9126040780765862,0.000851392312311,20.634248836860273,16.9,1758.8225336783391,1374.7248730964468,13060,0.0019289508043695315
odds_all_score>=0.5_top1,13294,13294,1.0,1329400,6730080,5400680,5.062494358357154,5.054084549420791,4921,0.37016699262825337,0.37016699262825337,0.9141605681101846,0.512674283556173,20.49896945990673,16.9,1757.0483064349112,1367.624466571835,11180,0.0016611986781732164
odds_10plus_score>=0.8_top1,10148,10148,1.0,1014800,5130340,4115540,5.055518328734726,5.05070949940875,2718,0.267836026803311,0.267836026803311,0.9189190132225536,0.8000362375774834,21.571669294442252,20.2,1944.8242503263318,1887.542310522443,4880,0.0009512040137690679
odds_all_score>=0.6_top1,13264,13264,1.0,1326400,6689660,5363260,5.043471049457177,5.037296441495778,4916,0.370627261761158,0.370627261761158,0.9149500001227672,0.6007753749738057,20.372466827503015,16.9,1751.2359170597856,1360.793327908869,8190,0.001224277467016261
odds_all_score>=0.7_top1,13037,13037,1.0,1303700,6562630,5258930,5.0338498120733295,5.027606044335354,4895,0.3754698166756156,0.3754698166756156,0.9193133881261664,0.7000582856215776,19.62171511850886,16.5,1708.4328503865627,1340.6802860061287,8140,0.0012403563815116805
odds_all_score>=0.8_top1,11435,11435,1.0,1143500,5685590,4542090,4.9720944468736334,4.967826847398339,4688,0.409969392216878,0.409969392216878,0.9410688554341046,0.8000362375774834,16.21859204197639,14.3,1479.3640461061607,1212.7965017064846,4880,0.0008583102193439907
odds_10plus_score>=0.7_top1,12607,12607,1.0,1260700,6161290,4900590,4.887197588641231,4.880740858253351,2960,0.23479019592289999,0.23479019592289999,0.8883989878837609,0.7000582856215776,25.98450860632982,23.4,2220.3858436151068,2081.516891891892,8140,0.0013211519016309897
odds_all_score>=0.9_top1,9578,9578,1.0,957800,4658170,3700370,4.863405721444978,4.859908122781374,4356,0.4547922321987889,0.4547922321987889,0.9596985454047445,0.900031846888769,13.02803299227396,12.1,1233.3359869183882,1069.3686868686868,3350,0.0007191665396496907
odds_10plus_score>=0.6_top1,13084,13084,1.0,1308400,6350760,5042360,4.853836747172118,4.846369611739529,2991,0.2285998165698563,0.2285998165698563,0.8801565889663505,0.6003670513974793,27.328385814735555,24.1,2290.739377273526,2123.2898696088264,9770,0.001538398553873867
odds_10plus_score>=0.9_top2,7599,10183,1.3400447427293065,1018300,4935190,3916890,4.846499067072572,4.8431699891976825,2827,0.2776195620151232,0.3720226345571786,0.9408192149143183,0.9000051206590312,18.6771285475793,18.3,1748.338871919291,1745.7339936328262,3390,0.0006869036450471005
odds_10plus_score>=0.5_top1,13207,13207,1.0,1320700,6397730,5077030,4.844196259559324,4.835731051714999,2997,0.22692511546906943,0.22692511546906943,0.8771456571529472,0.5006546707228078,27.841144847429394,24.3,2312.0034259045797,2134.711378044711,11180,0.0017474948145670417
odds_10plus_top1_by_direct_ticket_score,13326,13326,1.0,1332600,6448190,5115590,4.838803842113162,4.8290034518985445,3002,0.22527390064535494,0.22527390064535494,0.8724721118465049,0.000851392312311,28.529768872880084,24.5,2324.9004578971926,2147.9646902065288,13060,0.0020253745624741206
odds_10plus_score>=0.9_top3,7599,10795,1.4205816554809843,1079500,5175210,4095710,4.7940805928670684,4.790940250115795,2930,0.2714219546086151,0.385577049611791,0.9398617140072524,0.9000051206590312,18.94266790180639,18.6,1771.339625643616,1766.283276450512,3390,0.0006550458821960848
odds_10plus_score>=0.9,7599,10927,1.4379523621529149,1092700,5211730,4119030,4.769589091241878,4.766486684359843,2946,0.26960739452731763,0.38768258981444925,0.9396266263975055,0.9000051206590312,19.00489612885513,18.7,1776.6897164014924,1769.0868974881196,3390,0.0006504557987462896
odds_10plus_score>=0.9_top10,7599,10927,1.4379523621529149,1092700,5211730,4119030,4.769589091241878,4.766486684359843,2946,0.26960739452731763,0.38768258981444925,0.9396266263975055,0.9000051206590312,19.00489612885513,18.7,1776.6897164014924,1769.0868974881196,3390,0.0006504557987462896
odds_10plus_score>=0.9_top5,7599,10924,1.4375575733649164,1092400,5209090,4116690,4.768482240937385,4.765378982057855,2945,0.26958989381179055,0.38755099355178313,0.9396347810503418,0.9000051206590312,19.003460270963018,18.7,1776.572249694305,1768.7911714770798,3390,0.0006507854538892589
odds_10plus_score>=0.95_top1,3377,3377,1.0,337700,1577770,1240070,4.672105419010957,4.662185371631626,1193,0.35327213503109267,0.35327213503109267,0.9610013215635981,0.950012886681164,13.5245188036719,13.1,1298.6598409229728,1322.523051131601,3350,0.002123249903344594
odds_10plus_score>=0.95_top2,3377,3824,1.1323660053301747,382400,1715250,1332850,4.48548640167364,4.476725941422594,1289,0.337081589958159,0.38169973349126446,0.9605724038720002,0.950012886681164,13.663179916317992,13.2,1311.3913405080527,1330.6826997672615,3350,0.0019530680658796094
odds_10plus_score>=0.8_top2,10148,15626,1.5398108001576665,1562600,6983530,5420930,4.469173172916934,4.465391014975042,3472,0.2221937795981057,0.34213638155301535,0.9057426763808768,0.800013643138211,23.764776654294128,23.1,2109.167229559835,2011.3853686635944,5910,0.0008462768828944674
odds_10plus_score>=0.95,3377,3857,1.1421379923008588,385700,1725380,1339680,4.473373087892144,4.464687581021519,1295,0.33575317604355714,0.38347645839502514,0.9605237865171434,0.950012886681164,13.681643764583873,13.3,1313.0939074575704,1332.3397683397684,3350,0.0019416012704447717
odds_10plus_score>=0.95_top5,3377,3857,1.1421379923008588,385700,1725380,1339680,4.473373087892144,4.464687581021519,1295,0.33575317604355714,0.38347645839502514,0.9605237865171434,0.950012886681164,13.681643764583873,13.3,1313.0939074575704,1332.3397683397684,3350,0.0019416012704447717
odds_10plus_score>=0.95_top10,3377,3857,1.1421379923008588,385700,1725380,1339680,4.473373087892144,4.464687581021519,1295,0.33575317604355714,0.38347645839502514,0.9605237865171434,0.950012886681164,13.681643764583873,13.3,1313.0939074575704,1332.3397683397684,3350,0.0019416012704447717
odds_10plus_score>=0.95_top3,3377,3854,1.1412496298489785,385400,1723840,1338440,4.472859366891541,4.4641670991178,1294,0.33575505967825636,0.38318033757773173,0.960527497699887,0.950012886681164,13.680902957965749,13.25,1313.0275515583046,1332.1792890262752,3350,0.0019433358084276963
odds_all_score>=0.9_top2,9578,13783,1.4390269367300064,1378300,6114540,4736240,4.436291083218458,4.433831531596895,5235,0.3798157150112457,0.54656504489455,0.9544474943202523,0.9000051206590312,14.545055503156062,14.1,1370.5680800885762,1168.0114613180515,3390,0.0005544161948404949
odds_all_top2_by_direct_ticket_score,13326,26652,2.0,2665200,11792120,9126920,4.424478463154735,4.412119165541047,6597,0.2475236380009005,0.495047276001801,0.8638777569697793,0.0002498632652266,29.398622992645954,26.4,2317.161877854739,1787.4973472790662,32940,0.002793390840663087
