rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month_min_roi,month_mean_roi,month_count,plus_months
odds_30_500_score>=0.9_expected>=0_top2_by_direct_ticket_score,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084757893599266,0.9000122335862817,30.352584269662923,30.4,2757.4611594817316,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30_500_score>=0.9_expected>=0_top2_by_direct_expected_return,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084677567375031,0.9000122335862817,30.353258426966296,30.4,2757.4976820799166,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30_500_score>=0.9_expected>=500_top2_by_direct_ticket_score,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084757893599266,0.9000122335862817,30.352584269662923,30.4,2757.4611594817316,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30_500_score>=0.9_expected>=500_top2_by_direct_expected_return,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084677567375031,0.9000122335862817,30.353258426966296,30.4,2757.4976820799166,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30_500_score>=0.9_expected>=1000_top2_by_direct_ticket_score,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084757893599266,0.9000122335862817,30.352584269662923,30.4,2757.4611594817316,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30_500_score>=0.9_expected>=1000_top2_by_direct_expected_return,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084677567375031,0.9000122335862817,30.353258426966296,30.4,2757.4976820799166,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30_500_score>=0.9_expected>=1500_top2_by_direct_ticket_score,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084757893599266,0.9000122335862817,30.352584269662923,30.4,2757.4611594817316,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30_500_score>=0.9_expected>=1500_top2_by_direct_expected_return,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084677567375031,0.9000122335862817,30.353258426966296,30.4,2757.4976820799166,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30_500_score>=0.9_expected>=2000_top2_by_direct_ticket_score,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084757893599266,0.9000122335862817,30.352584269662923,30.4,2757.4611594817316,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30_500_score>=0.9_expected>=2000_top2_by_direct_expected_return,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084677567375031,0.9000122335862817,30.353258426966296,30.4,2757.4976820799166,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30plus_score>=0.9_expected>=0_top2_by_direct_ticket_score,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084757893599266,0.9000122335862817,30.352584269662923,30.4,2757.4611594817316,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30plus_score>=0.9_expected>=0_top2_by_direct_expected_return,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084677567375031,0.9000122335862817,30.353258426966296,30.4,2757.4976820799166,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30plus_score>=0.9_expected>=500_top2_by_direct_ticket_score,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084757893599266,0.9000122335862817,30.352584269662923,30.4,2757.4611594817316,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30plus_score>=0.9_expected>=500_top2_by_direct_expected_return,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084677567375031,0.9000122335862817,30.353258426966296,30.4,2757.4976820799166,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30plus_score>=0.9_expected>=1000_top2_by_direct_ticket_score,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084757893599266,0.9000122335862817,30.352584269662923,30.4,2757.4611594817316,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30plus_score>=0.9_expected>=1000_top2_by_direct_expected_return,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084677567375031,0.9000122335862817,30.353258426966296,30.4,2757.4976820799166,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30plus_score>=0.9_expected>=1500_top2_by_direct_ticket_score,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084757893599266,0.9000122335862817,30.352584269662923,30.4,2757.4611594817316,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30plus_score>=0.9_expected>=1500_top2_by_direct_expected_return,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084677567375031,0.9000122335862817,30.353258426966296,30.4,2757.4976820799166,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30plus_score>=0.9_expected>=2000_top2_by_direct_ticket_score,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084757893599266,0.9000122335862817,30.352584269662923,30.4,2757.4611594817316,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30plus_score>=0.9_expected>=2000_top2_by_direct_expected_return,854,890,1.0421545667447307,89000,100440,11440,1.1285393258426966,1.0904494382022472,33,0.03707865168539326,0.03864168618266979,0.9084677567375031,0.9000122335862817,30.353258426966296,30.4,2757.4976820799166,3390,0.03375149342891278,0.8627586206896551,1.1404282870447588,6,3
odds_30_500_score>=0.9_expected>=0_top3_by_direct_ticket_score,854,892,1.044496487119438,89200,100440,11240,1.1260089686098655,1.0880044843049328,33,0.03699551569506727,0.03864168618266979,0.9084630142445594,0.9000122335862817,30.353139013452914,30.4,2757.4724594582135,3390,0.03375149342891278,0.8510204081632653,1.1384719182903604,6,3
