rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month
odds_30_500_score>=0.5_expected>=0_top1_by_direct_ticket_score,2305,2305,1.0,230500,169680,-60820,0.7361388286334056,0.7152711496746204,49,0.02125813449023861,0.02125813449023861,0.8263902909158021,0.5554375575689996,35.48013015184382,33.6,2913.7621733632423,4810,0.02834747760490335,2026-01
odds_30_500_score>=0.5_expected>=0_top1_by_direct_ticket_score,2128,2128,1.0,212800,184260,-28540,0.8658834586466165,0.8405075187969925,54,0.02537593984962406,0.02537593984962406,0.828641713255151,0.5738820425490562,35.22269736842105,33.55,2903.127132183094,5400,0.029306414848583522,2026-02
odds_30_500_score>=0.5_expected>=0_top1_by_direct_ticket_score,2256,2256,1.0,225600,146830,-78770,0.6508421985815603,0.630008865248227,43,0.019060283687943262,0.019060283687943262,0.8280858470190703,0.5456573038751847,35.19295212765957,33.6,2900.347195631869,4700,0.03200980726009671,2026-03
odds_30_500_score>=0.5_expected>=0_top1_by_direct_ticket_score,2333,2333,1.0,233300,193110,-40190,0.8277325332190313,0.8060437205315045,57,0.0244320617231033,0.0244320617231033,0.8278173358592046,0.5742731506645278,35.10767252464638,33.3,2891.3218829171647,5060,0.026202682408989694,2026-04
odds_30_500_score>=0.5_expected>=0_top1_by_direct_ticket_score,2306,2306,1.0,230600,185220,-45380,0.8032090199479618,0.7823937554206418,53,0.02298352124891587,0.02298352124891587,0.8283510057528924,0.5440194529345679,35.001994796183865,33.2,2884.5501229581837,4800,0.02591512795594428,2026-05
odds_30_500_score>=0.5_expected>=0_top1_by_direct_ticket_score,1977,1977,1.0,197700,143880,-53820,0.7277693474962064,0.7027819929185635,43,0.02175012645422357,0.02175012645422357,0.8261591154052393,0.5734329766647418,35.151441578148706,33.4,2888.9112885774553,4940,0.034334167361690295,2026-06
odds_30_500_score>=0.5_expected>=0_top2_by_direct_ticket_score,2305,4610,2.0,461000,339980,-121020,0.7374837310195228,0.7227548806941432,93,0.020173535791757048,0.040347071583514096,0.8101620170038286,0.5006519075427881,37.29505422993493,35.6,3000.262519439416,6790,0.01997176304488499,2026-01
odds_30_500_score>=0.5_expected>=0_top2_by_direct_ticket_score,2128,4255,1.9995300751879699,425500,368540,-56960,0.8661339600470035,0.8513983548766157,102,0.023971797884841363,0.047932330827067667,0.8125622847706909,0.5623115620857937,37.013301997649826,35.6,2989.0589578553518,6270,0.017013078634612253,2026-02
odds_30_500_score>=0.5_expected>=0_top2_by_direct_ticket_score,2256,4510,1.999113475177305,451000,319610,-131390,0.7086696230598669,0.6953215077605321,88,0.01951219512195122,0.03900709219858156,0.8120130889870226,0.5418489712696537,36.88044345898004,35.4,2978.608455992523,6020,0.01883545571164857,2026-03
odds_30_500_score>=0.5_expected>=0_top2_by_direct_ticket_score,2333,4665,1.9995713673381912,466500,385900,-80600,0.8272240085744909,0.8157770632368703,110,0.023579849946409433,0.04714959279897128,0.811887034127164,0.5427752539864257,36.88968917470525,35.3,2977.061150273731,5340,0.013837781808758746,2026-04
odds_30_500_score>=0.5_expected>=0_top2_by_direct_ticket_score,2306,4612,2.0,461200,376140,-85060,0.8155680832610581,0.8036860364267129,104,0.022549869904596703,0.045099739809193407,0.8122830631241091,0.5227567737145851,36.73976582827407,35.1,2966.2616651531057,5480,0.014569043441271867,2026-05
odds_30_500_score>=0.5_expected>=0_top2_by_direct_ticket_score,1977,3954,2.0,395400,282670,-112730,0.7148963075366718,0.7012645422357107,80,0.020232675771370764,0.04046535154274153,0.8108899340699811,0.5304446935050572,36.94114820435002,35.4,2977.8482189741667,5390,0.019068171365903705,2026-06
odds_30_500_score>=0.5_expected>=0_top3_by_direct_ticket_score,2305,6913,2.999132321041215,691300,561630,-129670,0.8124258643136121,0.8026037899609432,149,0.02155359467669608,0.06464208242950109,0.7983139808669025,0.5006519075427881,38.87592940836106,36.9,3077.924139223417,6790,0.012089810017271158,2026-01
odds_30_500_score>=0.5_expected>=0_top3_by_direct_ticket_score,2128,6381,2.99859022556391,638100,580280,-57820,0.9093872433787807,0.8990126939351198,155,0.02429086350101865,0.07283834586466166,0.8007750716378024,0.5196480422436865,38.66013164080865,36.9,3072.486311978925,6620,0.011408285655200938,2026-02
odds_30_500_score>=0.5_expected>=0_top3_by_direct_ticket_score,2256,6763,2.9977836879432624,676300,470040,-206260,0.6950170042880378,0.6854058849622948,126,0.018630785154517226,0.05585106382978723,0.8000913316216336,0.5243038417777622,38.5293656661245,36.7,3062.019837875325,6500,0.013828610331035657,2026-03
odds_30_500_score>=0.5_expected>=0_top3_by_direct_ticket_score,2333,6997,2.9991427346763824,699700,623620,-76080,0.8912676861512077,0.8784621980848936,167,0.023867371730741747,0.07158165452207459,0.7999061652908922,0.5061276520351743,38.49859939974274,36.6,3056.2747862684014,8960,0.01436772393444726,2026-04
odds_30_500_score>=0.5_expected>=0_top3_by_direct_ticket_score,2306,6916,2.9991326973113615,691600,559880,-131720,0.8095430884904569,0.8009687680740313,150,0.021688837478311164,0.06504770164787511,0.8004399456185415,0.5042927251654602,38.361119144013884,36.5,3047.8938392900463,5930,0.010591555333285704,2026-05
odds_30_500_score>=0.5_expected>=0_top3_by_direct_ticket_score,1977,5928,2.998482549317147,592800,439690,-153110,0.741717273954116,0.7326248313090419,119,0.02007422402159244,0.06019221041982802,0.7998572778651453,0.5246290259945272,38.47140688259109,36.7,3055.2421779710435,5390,0.012258636766812983,2026-06
odds_30_500_score>=0.5_expected>=0_top5_by_direct_ticket_score,2305,11495,4.9869848156182215,1149500,944990,-204510,0.8220878642888212,0.8149630274032188,233,0.02026968247063941,0.10108459869848156,0.7792139690330958,0.5006519075427881,41.982383645063074,39.5,3232.9313760814093,8190,0.008666758378395539,2026-01
odds_30_500_score>=0.5_expected>=0_top5_by_direct_ticket_score,2128,10621,4.991071428571429,1062100,900830,-161270,0.848159307033236,0.84176631202335,227,0.021372752094906317,0.10667293233082707,0.7818491668636156,0.5024457966551268,41.818689388946424,39.5,3233.832123183247,6790,0.007537493200714896,2026-02
odds_30_500_score>=0.5_expected>=0_top5_by_direct_ticket_score,2256,11254,4.988475177304965,1125400,943900,-181500,0.8387240092411588,0.8314910254131864,225,0.019992891416385286,0.09973404255319149,0.7809142717951388,0.5045736203394111,41.7701439488182,39.4,3227.644679283572,8140,0.008623794893526857,2026-03
odds_30_500_score>=0.5_expected>=0_top5_by_direct_ticket_score,2333,11643,4.990570081440206,1164300,981160,-183140,0.8427037705058834,0.835008159409087,250,0.021472129176329124,0.10715816545220745,0.7810572188546283,0.5007170061025321,41.64993558361247,39.1,3216.4107122962564,8960,0.009132047780178565,2026-04
