race_id,car_no,name,score,style,age,win_rate,place_rate
202601010101,1,佐藤 一郎,92.1,追込,34,0.18,0.45
202601010101,2,鈴木 次郎,88.4,逃げ,27,0.12,0.38
202601010101,3,高橋 三郎,90.3,捲り,31,0.15,0.41
202601010101,4,田中 四郎,85.2,両,39,0.08,0.3
202601010101,5,伊藤 五郎,87.9,差し,36,0.1,0.34
202601010102,1,山本 六郎,96.7,逃げ,25,0.31,0.62
202601010102,2,中村 七郎,83.5,追込,42,0.05,0.22
202601010102,3,小林 八郎,82.8,追込,45,0.04,0.2
202601010102,4,加藤 九郎,89.6,捲り,33,0.14,0.37
202601010102,5,吉田 十郎,81.9,差し,48,0.03,0.18
202601010102,6,渡辺 十一,86.2,両,37,0.09,0.28
