race_id,car_no,name,score,style,age,win_rate,place_rate
2420250609010001,1,藤野一良,78.06,追込,48,0.0,0.066
2420250609010001,2,中里福太郎,81.37,逃げ,29,0.041,0.333
2420250609010001,3,近藤寛央,87.71,追込,38,0.0,0.375
2420250609010001,4,小林史也,88.8,逃げ,39,0.238,0.619
2420250609010001,5,松根真,81.43,追込,44,0.0,0.28
2420250609010001,6,真崎章徳,77.33,逃げ,29,0.0,0.133
2420250609010001,7,山崎光展,80.0,両,38,0.06,0.242
2420250609010002,1,金野俊秋,85.36,逃げ,41,0.0,0.454
2420250609010002,2,鮒田博文,84.7,追込,47,0.1,0.4
2420250609010002,3,竹内優也,81.36,両,45,0.166,0.3
2420250609010002,4,土岐幹多,85.19,追込,45,0.09,0.5
2420250609010002,5,相樂修,81.5,両,51,0.083,0.291
2420250609010002,6,中村敏之輔,0.0,追込,39,0.0,0.0
2420250609010002,7,稲毛知也,88.62,逃げ,27,0.208,0.75
2420250609010003,1,山中崇弘,84.37,追込,29,0.074,0.333
2420250609010003,2,深井高志,79.5,追込,56,0.0,0.136
2420250609010003,3,長野和弘,82.29,追込,48,0.055,0.222
2420250609010003,4,勝部貴博,79.73,逃げ,36,0.066,0.2
2420250609010003,5,谷口幸司,87.14,追込,31,0.111,0.518
2420250609010003,6,伊藤翼,76.78,両,39,0.0,0.035
2420250609010003,7,多田晃紀,89.66,逃げ,32,0.277,0.666
2420250609010004,1,石川雅望,89.8,追込,39,0.0,0.454
2420250609010004,2,西川弘資,78.75,追込,56,0.0,0.166
2420250609010004,3,黒田大介,83.75,追込,51,0.166,0.416
2420250609010004,4,梅山英樹,86.33,追込,53,0.136,0.59
2420250609010004,5,小川将人,83.77,追込,49,0.074,0.481
2420250609010004,6,隅田幸助,78.03,両,41,0.0,0.185
2420250609010004,7,川上隆義,91.46,逃げ,24,0.562,0.75
2420250609010005,1,近藤範昌,90.55,追込,47,0.111,0.5
2420250609010005,2,上川直紀,91.04,両,28,0.409,0.727
2420250609010005,3,小橋明紀,92.41,追込,51,0.291,0.625
2420250609010005,4,松岡孔明,93.85,追込,43,0.428,0.761
2420250609010005,5,林昌幸,93.25,逃げ,22,0.176,0.705
2420250609010005,6,高本和也,89.84,逃げ,28,0.214,0.428
2420250609010005,7,比佐宝太,93.03,逃げ,24,0.259,0.666
2420250609010006,1,坂本修一,101.16,追込,37,0.133,0.466
2420250609010006,2,立部楓真,97.76,逃げ,26,0.523,0.714
2420250609010006,3,桐山敬太郎,99.31,両,43,0.13,0.304
2420250609010006,4,島川将貴,101.2,逃げ,30,0.16,0.48
2420250609010006,5,松川高大,104.44,両,36,0.28,0.64
2420250609010006,6,原真司,96.35,追込,47,0.034,0.206
2420250609010006,7,川口直人,97.0,追込,48,0.034,0.344
2420250609010007,1,丸山貴秀,96.96,追込,45,0.0,0.214
2420250609010007,2,大崎飛雄馬,99.31,追込,46,0.066,0.4
2420250609010007,3,岡田泰地,100.94,追込,33,0.1,0.3
2420250609010007,4,松崎広太,103.34,逃げ,25,0.26,0.565
2420250609010007,5,月森亮輔,99.4,両,33,0.166,0.3
2420250609010007,6,肥後尚己,93.64,追込,48,0.0,0.137
2420250609010007,7,川津悠揮,104.9,追込,36,0.095,0.333
2420250609010008,1,金子幸央,102.38,逃げ,32,0.227,0.409
2420250609010008,2,松村友和,102.08,追込,45,0.13,0.347
2420250609010008,3,五日市誠,106.28,追込,40,0.2,0.52
2420250609010008,4,内田玄希,95.2,追込,44,0.0,0.192
2420250609010008,5,大森慶一,104.0,追込,43,0.12,0.44
2420250609010008,6,村田瑞季,95.19,逃げ,28,0.076,0.23
2420250609010008,7,佐藤真一,99.15,追込,50,0.0,0.285
2420250609010009,1,上田裕和,98.37,追込,44,0.0,0.294
2420250609010009,2,山口多聞,102.29,逃げ,23,0.222,0.518
2420250609010009,3,鹿内翔,95.03,追込,39,0.0,0.172
2420250609010009,4,志村太賀,102.18,追込,41,0.181,0.454
2420250609010009,5,北野武史,96.7,追込,52,0.05,0.25
2420250609010009,6,北野良栄,92.4,両,41,0.0,0.156
2420250609010009,7,横関裕樹,104.16,両,37,0.29,0.58
2420250609010010,1,角令央奈,100.52,両,38,0.2,0.6
2420250609010010,2,中井太祐,106.35,両,35,0.285,0.428
2420250609010010,3,小林大介,101.76,追込,47,0.08,0.56
2420250609010010,4,筒井裕哉,96.41,追込,44,0.031,0.218
2420250609010010,5,浮島知稀,98.47,逃げ,24,0.21,0.473
2420250609010010,6,富弥昭,94.43,追込,53,0.0,0.125
2420250609010010,7,中釜章成,106.33,逃げ,28,0.333,1.0
2420250609010011,1,橋本瑠偉,106.96,逃げ,30,0.346,0.692
2420250609010011,2,水谷好宏,98.6,両,42,0.16,0.4
2420250609010011,3,松尾透,99.95,追込,40,0.086,0.391
2420250609010011,4,横山尚則,103.43,追込,33,0.0,0.26
2420250609010011,5,畑段嵐士,100.03,両,34,0.034,0.275
2420250609010011,6,宮下貴之,92.84,追込,51,0.0,0.04
2420250609010011,7,山本浩成,93.55,逃げ,26,0.052,0.157
2420250609010012,1,佐々木眞也,110.25,両,30,0.16,0.52
2420250609010012,2,吉澤純平,110.73,両,40,0.2,0.55
2420250609010012,3,山田庸平,116.78,両,37,0.631,0.736
2420250609010012,4,武藤龍生,114.05,追込,34,0.3,0.55
2420250609010012,5,中本匠栄,110.63,追込,38,0.25,0.55
2420250609010012,6,佐々木悠葵,110.21,両,29,0.071,0.214
2420250609010012,7,高橋築,111.0,両,33,0.214,0.428
