rule,race_id,combination,race_date,odds,estimated_payout,is_hit,hit_payout,hit_popularity,return_yen,direct_ticket_score,direct_expected_return,direct_ticket_rank,direct_expected_rank,race_score,month,day,expected_return
high_odds_v1_top2,1120260514010001,1-9-5,2026-05-14,106.8,10680,0,5070.0,17.0,0.0,0.5742353907478451,6132.833973186986,36,182,0.4967051509271897,2026-05,2026-05-14,6132.833973186986
high_odds_v1_top2,1120260514010001,2-9-7,2026-05-14,105.2,10520,0,5070.0,17.0,0.0,0.5680119504901884,5975.485719156782,37,193,0.4967051509271897,2026-05,2026-05-14,5975.485719156783
high_odds_v1_top2,1120260514010003,5-1-7,2026-05-14,106.8,10680,0,60580.0,122.0,0.0,0.5801722788825808,6196.239938465963,33,163,0.5336436537961381,2026-05,2026-05-14,6196.239938465963
high_odds_v1_top2,1120260514010003,5-2-7,2026-05-14,126.4,12640,0,60580.0,122.0,0.0,0.4908561116290196,6204.421250990808,37,162,0.5336436537961381,2026-05,2026-05-14,6204.4212509908075
high_odds_v1_top2,1120260514010004,1-7-2,2026-05-14,118.7,11870,0,2790.0,6.0,0.0,0.611043266987804,7253.083579145234,35,136,0.5153962838729785,2026-05,2026-05-14,7253.083579145234
high_odds_v1_top2,1120260514010004,1-5-9,2026-05-14,106.5,10650,0,2790.0,6.0,0.0,0.5939533536570968,6325.603216448081,36,189,0.5153962838729785,2026-05,2026-05-14,6325.60321644808
high_odds_v1_top2,1120260514010006,5-3-1,2026-05-14,104.2,10420,0,4410.0,10.0,0.0,0.5716052832041106,5956.127050986833,29,212,0.5536335658850543,2026-05,2026-05-14,5956.127050986833
high_odds_v1_top2,1120260514010006,9-3-7,2026-05-14,114.1,11410,0,4410.0,10.0,0.0,0.5616484440775709,6408.408746925084,30,184,0.5536335658850543,2026-05,2026-05-14,6408.4087469250835
high_odds_v1_top2,1120260514010007,7-5-9,2026-05-14,103.7,10370,0,49910.0,96.0,0.0,0.6275762609611819,6507.965826167457,28,149,0.4625236991250618,2026-05,2026-05-14,6507.965826167457
high_odds_v1_top2,1120260514010007,1-2-5,2026-05-14,131.4,13140,0,49910.0,96.0,0.0,0.5530948702314024,7267.666594840627,33,119,0.4625236991250618,2026-05,2026-05-14,7267.666594840627
high_odds_v1_top2,1120260514010009,5-7-3,2026-05-14,101.5,10150,0,860.0,1.0,0.0,0.4712736448487458,4783.427495214771,32,250,0.5553592406380662,2026-05,2026-05-14,4783.42749521477
high_odds_v1_top2,1120260514010009,5-1-2,2026-05-14,123.0,12300,0,860.0,1.0,0.0,0.4469753921768026,5497.797323774672,33,195,0.5553592406380662,2026-05,2026-05-14,5497.797323774672
high_odds_v1_top2,1120260514010010,1-3-8,2026-05-14,116.8,11680,0,8120.0,22.0,0.0,0.543312805097017,6345.893563533158,25,134,0.4795487196634623,2026-05,2026-05-14,6345.893563533158
high_odds_v1_top2,1120260514010010,1-3-5,2026-05-14,107.9,10790,0,8120.0,22.0,0.0,0.4961674309547959,5353.646580002248,28,171,0.4795487196634623,2026-05,2026-05-14,5353.646580002248
high_odds_v1_top2,1120260514010011,4-2-5,2026-05-14,107.8,10780,0,9300.0,23.0,0.0,0.5988374795199372,6455.468029224922,25,120,0.473622872374173,2026-05,2026-05-14,6455.468029224923
