rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,day
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.4908923938126329,0.4908923938126329,0.6233329818463058,0.6181072899126919,109.2,109.2,6805.071683423567,0,0.0,2026-01-01
high_odds_v1_top2,8,16,2.0,1600,0,-1600,0.0,0.0,0,0.0,0.0,0.5323252013159572,0.4602117987311964,0.503111000378516,0.410921809946838,132.825,110.25,6515.222749580582,0,0.0,2026-01-04
high_odds_v1_top2,2,4,2.0,400,0,-400,0.0,0.0,0,0.0,0.0,0.483484746247494,0.4725913507187299,0.5214697205227491,0.4743262366061372,141.72500000000002,127.05,7340.110793845708,0,0.0,2026-01-05
high_odds_v1_top2,10,20,2.0,2000,0,-2000,0.0,0.0,0,0.0,0.0,0.5483281861305738,0.4517956408904393,0.5185463057073814,0.4307770150389357,109.07500000000002,103.9,5640.494440212526,0,0.0,2026-01-06
high_odds_v1_top2,10,20,2.0,2000,0,-2000,0.0,0.0,0,0.0,0.0,0.5293870797404069,0.4649109712556401,0.5249223678611654,0.4654756136160212,110.04499999999999,107.65,5780.966309005019,0,0.0,2026-01-07
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.4531063809712437,0.4531063809712437,0.6536911849271994,0.6192628434563674,112.1,112.1,7289.318440586574,0,0.0,2026-01-08
high_odds_v1_top2,9,18,2.0,1800,0,-1800,0.0,0.0,0,0.0,0.0,0.5400007674217303,0.4669261167363928,0.5511472580464074,0.4962869790829392,114.47777777777777,114.69999999999999,6309.7283225809115,0,0.0,2026-01-09
high_odds_v1_top2,6,12,2.0,1200,20840,19640,17.366666666666667,8.458333333333334,2,0.16666666666666666,0.3333333333333333,0.4987332791561438,0.4562620111588089,0.5237126141108833,0.4380949438170588,114.375,108.35,5953.4867553496015,10690,0.5129558541266794,2026-01-10
high_odds_v1_top2,7,14,2.0,1400,0,-1400,0.0,0.0,0,0.0,0.0,0.5533584452681394,0.4585044760715211,0.5418942625129207,0.4656427909637354,117.25,109.8,6343.70943313114,0,0.0,2026-01-11
high_odds_v1_top2,6,11,1.8333333333333333,1100,0,-1100,0.0,0.0,0,0.0,0.0,0.6304134151994153,0.5006369257379631,0.5502314043799806,0.4572096012389059,111.68181818181819,106.4,6157.708427920218,0,0.0,2026-01-12
high_odds_v1_top2,8,16,2.0,1600,10660,9060,6.6625,0.0,1,0.0625,0.125,0.5550357772077865,0.4543158271841966,0.5570885839199118,0.4580412696750912,111.19375,106.5,6152.784280313103,10660,1.0,2026-01-15
high_odds_v1_top2,8,16,2.0,1600,0,-1600,0.0,0.0,0,0.0,0.0,0.4815232995509058,0.4550995079870896,0.5457273779904817,0.4331307164723322,111.36250000000001,109.8,6055.115840452918,0,0.0,2026-01-16
high_odds_v1_top2,9,18,2.0,1800,0,-1800,0.0,0.0,0,0.0,0.0,0.546367209692544,0.4555405804210737,0.5856175110514977,0.5253380448417161,109.68333333333332,106.6,6415.730138696503,0,0.0,2026-01-17
high_odds_v1_top2,8,16,2.0,1600,0,-1600,0.0,0.0,0,0.0,0.0,0.5643625651077039,0.454810421255252,0.5704322524152858,0.4796123915587415,117.5375,109.35,6690.105442060981,0,0.0,2026-01-18
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.4542393043262599,0.4542393043262599,0.48989567678093454,0.4832985246408425,167.2,167.2,8163.875448960046,0,0.0,2026-01-21
high_odds_v1_top2,9,18,2.0,1800,0,-1800,0.0,0.0,0,0.0,0.0,0.5460979262426948,0.4633919712114118,0.5303878984300027,0.4819574969362186,114.92777777777779,110.25,6070.7228981058015,0,0.0,2026-01-22
high_odds_v1_top2,7,14,2.0,1400,0,-1400,0.0,0.0,0,0.0,0.0,0.5239337085283823,0.4662673481423384,0.5570211399876988,0.5200493990391917,106.03571428571429,104.44999999999999,5907.518809742573,0,0.0,2026-01-23
high_odds_v1_top2,8,16,2.0,1600,0,-1600,0.0,0.0,0,0.0,0.0,0.5632664899545194,0.4736301849951318,0.5325446952639467,0.4489899697516586,108.775,106.75,5776.661695062937,0,0.0,2026-01-24
high_odds_v1_top2,9,18,2.0,1800,0,-1800,0.0,0.0,0,0.0,0.0,0.547578474147033,0.4579129028434822,0.5420953007936997,0.4989212933502089,109.94444444444444,108.2,5962.188480876868,0,0.0,2026-01-25
high_odds_v1_top2,6,12,2.0,1200,0,-1200,0.0,0.0,0,0.0,0.0,0.5508434187430821,0.4773382934008913,0.5063286232737855,0.4244240574620682,105.89999999999999,106.1,5363.527982691378,0,0.0,2026-01-29
high_odds_v1_top2,2,4,2.0,400,0,-400,0.0,0.0,0,0.0,0.0,0.5114932332521376,0.5053512726068924,0.538832500181908,0.5266493289520805,113.77499999999999,106.1,6127.699435662268,0,0.0,2026-01-30
high_odds_v1_top2,6,12,2.0,1200,0,-1200,0.0,0.0,0,0.0,0.0,0.5520994796475972,0.4511944799423767,0.5174816719782179,0.4778624001154426,110.08333333333331,105.69999999999999,5690.734596841718,0,0.0,2026-01-31
high_odds_v1_top2,4,8,2.0,800,0,-800,0.0,0.0,0,0.0,0.0,0.5310598564610354,0.4596201993455039,0.50167557807641,0.4684831511327699,116.875,103.55,5821.976146169312,0,0.0,2026-02-01
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.4508782562183954,0.4508782562183954,0.5290811731959214,0.5102038923240212,109.35,109.35,5785.59701530176,0,0.0,2026-02-02
high_odds_v1_top2,13,26,2.0,2600,0,-2600,0.0,0.0,0,0.0,0.0,0.5281884814934918,0.460822472696911,0.5101623006373847,0.4077542488158484,120.91923076923075,112.9,6120.016863714931,0,0.0,2026-02-05
high_odds_v1_top2,10,20,2.0,2000,0,-2000,0.0,0.0,0,0.0,0.0,0.5277756361945969,0.4524419218054403,0.5256405213807337,0.4427386202533185,111.97999999999999,108.65,5878.275469785725,0,0.0,2026-02-06
high_odds_v1_top2,7,14,2.0,1400,0,-1400,0.0,0.0,0,0.0,0.0,0.6084625033370444,0.5257858591625697,0.535050598430553,0.4558306195484891,110.60714285714286,105.65,5882.187238661028,0,0.0,2026-02-07
high_odds_v1_top2,8,16,2.0,1600,0,-1600,0.0,0.0,0,0.0,0.0,0.5555074822502681,0.4890988330819847,0.5272057849933227,0.4520403718949455,113.85,107.85,5992.292514187858,0,0.0,2026-02-08
high_odds_v1_top2,11,21,1.9090909090909092,2100,0,-2100,0.0,0.0,0,0.0,0.0,0.5530849384502623,0.450095168021299,0.5173026970596704,0.4266971410514684,114.74285714285713,113.8,5921.933434008333,0,0.0,2026-02-12
high_odds_v1_top2,8,16,2.0,1600,0,-1600,0.0,0.0,0,0.0,0.0,0.5357026781092078,0.4572104479846583,0.5473462520327348,0.4688301290338775,115.9,110.15,6323.182388776214,0,0.0,2026-02-13
high_odds_v1_top2,7,14,2.0,1400,11790,10390,8.42142857142857,0.0,1,0.07142857142857142,0.14285714285714285,0.5662293752950215,0.4971024857712601,0.5366814294374035,0.4725477300713602,114.49999999999999,113.8,6126.742592110012,11790,1.0,2026-02-14
high_odds_v1_top2,6,12,2.0,1200,0,-1200,0.0,0.0,0,0.0,0.0,0.5893156579856077,0.4862371266295063,0.5367817876329725,0.4789897230913966,110.46666666666665,105.55,5921.978004481232,0,0.0,2026-02-15
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.46859811926188,0.46859811926188,0.5789732503520113,0.5779393789121708,119.25,119.25,6903.0205340771245,0,0.0,2026-02-16
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.4625048695970042,0.4625048695970042,0.5299430532056563,0.5288273217605841,102.5,102.5,5431.972081930231,0,0.0,2026-02-17
high_odds_v1_top2,12,24,2.0,2400,0,-2400,0.0,0.0,0,0.0,0.0,0.6567832023338585,0.5476809760604716,0.5087626430934213,0.4463430576665658,124.35416666666667,119.5,6277.176597941659,0,0.0,2026-02-20
high_odds_v1_top2,13,26,2.0,2600,0,-2600,0.0,0.0,0,0.0,0.0,0.6430562675626111,0.5055516841395136,0.5233179800434643,0.4071443592420092,116.2076923076923,109.69999999999999,6047.450232091539,0,0.0,2026-02-21
high_odds_v1_top2,12,24,2.0,2400,0,-2400,0.0,0.0,0,0.0,0.0,0.6532169318074609,0.5275886781387465,0.5363176100178849,0.4612339408548893,120.7625,121.25,6471.796818790211,0,0.0,2026-02-22
high_odds_v1_top2,12,23,1.9166666666666667,2300,0,-2300,0.0,0.0,0,0.0,0.0,0.6659731580979155,0.5440854888633191,0.537210642677697,0.4104689528475655,114.55652173913045,113.5,6127.200575589575,0,0.0,2026-02-23
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.4515567478538441,0.4515567478538441,0.5620998506934399,0.554480641436431,107.4,107.4,6031.77133415278,0,0.0,2026-02-26
high_odds_v1_top2,10,20,2.0,2000,0,-2000,0.0,0.0,0,0.0,0.0,0.5582027560815706,0.4539428439863121,0.5155056360452803,0.4297310514775289,122.875,118.05,6333.437304274647,0,0.0,2026-02-28
high_odds_v1_top2,8,16,2.0,1600,0,-1600,0.0,0.0,0,0.0,0.0,0.5099312962717553,0.4505102771097794,0.5083750850119304,0.428223709455307,121.09375,115.95,6101.749128270607,0,0.0,2026-03-01
high_odds_v1_top2,8,16,2.0,1600,0,-1600,0.0,0.0,0,0.0,0.0,0.6298997268078902,0.487579546973781,0.5274836188612761,0.4213547347617921,115.64375,110.4,6039.833436593826,0,0.0,2026-03-02
high_odds_v1_top2,9,18,2.0,1800,0,-1800,0.0,0.0,0,0.0,0.0,0.6148589267868053,0.4863979359030267,0.5295942507100398,0.4269368142059799,112.10555555555555,109.55,5941.277705194161,0,0.0,2026-03-03
high_odds_v1_top2,10,20,2.0,2000,0,-2000,0.0,0.0,0,0.0,0.0,0.5290620587930674,0.4531902910681868,0.5239232522007755,0.4528681718779079,112.69000000000001,109.55,5894.42548438081,0,0.0,2026-03-05
high_odds_v1_top2,7,14,2.0,1400,0,-1400,0.0,0.0,0,0.0,0.0,0.5522741241026404,0.4574899950777484,0.5099472447683633,0.4562316796053356,116.10714285714286,109.65,5893.230130640034,0,0.0,2026-03-06
high_odds_v1_top2,11,22,2.0,2200,0,-2200,0.0,0.0,0,0.0,0.0,0.5383212054429514,0.4516969941733697,0.5480622431712824,0.5139911830875262,112.33636363636361,107.35,6144.956123041477,0,0.0,2026-03-07
high_odds_v1_top2,10,20,2.0,2000,0,-2000,0.0,0.0,0,0.0,0.0,0.6347367113900153,0.4832423829882012,0.5539831864538367,0.4831400711230726,129.80999999999997,125.55,7229.155326838864,0,0.0,2026-03-08
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.4634225666422334,0.4634225666422334,0.5416444299599669,0.5380280057674984,120.19999999999999,120.19999999999999,6509.083314199889,0,0.0,2026-03-09
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.4554441610667889,0.4554441610667889,0.5510930426016653,0.5492389846045939,150.55,150.55,8293.17377588365,0,0.0,2026-03-10
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.4500906629413549,0.4500906629413549,0.5675859304173969,0.5460941946564841,119.4,119.4,6775.471587680455,0,0.0,2026-03-11
high_odds_v1_top2,18,36,2.0,3600,0,-3600,0.0,0.0,0,0.0,0.0,0.5843401837576435,0.4790760932468445,0.5641014220033306,0.4855627043292714,116.84722222222223,107.55,6573.725291980701,0,0.0,2026-03-12
high_odds_v1_top2,19,38,2.0,3800,11370,7570,2.9921052631578946,0.0,1,0.02631578947368421,0.05263157894736842,0.5477235841058375,0.4650444802943346,0.5261422722288761,0.4390215896519934,116.87105263157893,108.85,6132.9221754790315,11370,1.0,2026-03-13
high_odds_v1_top2,19,38,2.0,3800,0,-3800,0.0,0.0,0,0.0,0.0,0.5742680495811383,0.455060750817658,0.5437699248143494,0.4196200263107241,115.28947368421052,111.85,6253.109691202663,0,0.0,2026-03-14
high_odds_v1_top2,19,38,2.0,3800,11640,7840,3.0631578947368423,0.0,1,0.02631578947368421,0.05263157894736842,0.5637337622582343,0.4535467072509567,0.5403097384197387,0.4398408784074355,120.93947368421053,117.15,6503.453992263446,11640,1.0,2026-03-15
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.460099042596664,0.460099042596664,0.5948957875367972,0.5834122753861074,104.55000000000001,104.55000000000001,6216.936833341802,0,0.0,2026-03-16
high_odds_v1_top2,1,2,2.0,200,0,-200,0.0,0.0,0,0.0,0.0,0.4891794128532778,0.4891794128532778,0.530467478887383,0.5293295658930354,113.85,113.85,6039.810343635679,0,0.0,2026-03-17
high_odds_v1_top2,10,20,2.0,2000,0,-2000,0.0,0.0,0,0.0,0.0,0.6452465899196588,0.4911816978287185,0.5109432612969684,0.4298516945070997,121.34,116.45,6195.105346800361,0,0.0,2026-03-19
high_odds_v1_top2,12,23,1.9166666666666667,2300,0,-2300,0.0,0.0,0,0.0,0.0,0.6231158471841447,0.5281513144172513,0.5287990533149035,0.4305245304429859,114.68260869565216,107.7,6035.907470777965,0,0.0,2026-03-20
