rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,avg_odds,median_odds,avg_expected_roi,min_expected_roi,avg_hit_payout,max_hit_payout,max_hit_share
race>=0.60_odds100-1000_ev>=1_top1_by_expected_roi,390,390,1.0,39000,149170,110170,3.824871794871795,1.533076923076923,2,0.005128205128205128,0.005128205128205128,0.6653700840469999,877.8884615384613,900.75,3.9775205305736634,2.4054184432386836,74585.0,89380,0.5991821411812026
race>=0.60_odds100-1000_ev>=1_top1_by_value_score,390,390,1.0,39000,149170,110170,3.824871794871795,1.533076923076923,2,0.005128205128205128,0.005128205128205128,0.6653700840469999,877.8884615384613,900.75,3.9775205305736634,2.4054184432386836,74585.0,89380,0.5991821411812026
race>=0.60_odds100-1000_ev>=1_top10_by_expected_roi,390,3900,10.0,390000,546980,156980,1.4025128205128206,1.1579230769230768,7,0.0017948717948717949,0.017948717948717947,0.6653700840469999,807.3213333333334,833.0999999999999,3.0909348014836153,1.6814788914765142,78140.0,95390,0.17439394493400123
race>=0.60_odds100-1000_ev>=1_top10_by_value_score,390,3900,10.0,390000,546980,156980,1.4025128205128206,1.1579230769230768,7,0.0017948717948717949,0.017948717948717947,0.6653700840469999,807.3213333333334,833.0999999999999,3.0909348014836153,1.6814788914765142,78140.0,95390,0.17439394493400123
race>=0.60_odds100-1000_ev>=1_top3_by_expected_roi,390,1170,3.0,117000,202850,85850,1.7337606837606838,0.9698290598290599,3,0.002564102564102564,0.007692307692307693,0.6653700840469999,850.8227350427351,868.3,3.6392860412858323,2.2008489740303965,67616.66666666667,89380,0.4406211486319941
race>=0.60_odds100-1000_ev>=1_top3_by_value_score,390,1170,3.0,117000,202850,85850,1.7337606837606838,0.9698290598290599,3,0.002564102564102564,0.007692307692307693,0.6653700840469999,850.8227350427351,868.3,3.6392860412858323,2.2008489740303965,67616.66666666667,89380,0.4406211486319941
race>=0.60_odds100-1000_ev>=1_top100_by_expected_roi,390,34046,87.2974358974359,3404600,3149780,-254820,0.9251542031369324,0.89713622745697,54,0.0015860894084473948,0.13846153846153847,0.6656863733949959,646.7687011690067,659.05,1.7456243043290838,1.0000093118676883,58329.25925925926,95390,0.030284654801287707
race>=0.60_odds100-1000_ev>=1_top100_by_value_score,390,34046,87.2974358974359,3404600,3149780,-254820,0.9251542031369324,0.89713622745697,54,0.0015860894084473948,0.13846153846153847,0.6656863733949959,646.7687011690067,659.05,1.7456243043290838,1.0000093118676883,58329.25925925926,95390,0.030284654801287707
race>=0.60_odds100-1000_ev>=1_top20_by_expected_roi,390,7800,20.0,780000,789490,9490,1.0121666666666667,0.8898717948717949,11,0.0014102564102564104,0.028205128205128206,0.6653700840469999,768.8119999999999,794.8499999999999,2.702363178596897,1.4611353697997098,71771.81818181818,95390,0.12082483628671674
race>=0.60_odds100-1000_ev>=1_top20_by_value_score,390,7800,20.0,780000,789490,9490,1.0121666666666667,0.8898717948717949,11,0.0014102564102564104,0.028205128205128206,0.6653700840469999,768.8119999999999,794.8499999999999,2.702363178596897,1.4611353697997098,71771.81818181818,95390,0.12082483628671674
race>=0.60_odds100-1000_ev>=1_top100_by_ticket_score,390,34046,87.2974358974359,3404600,3097410,-307190,0.9097720730776009,0.8817540973976384,56,0.001644833460612113,0.14358974358974358,0.6656863733949959,634.3102567115079,640.6500000000001,1.7380736687792697,1.0000093118676883,55310.892857142855,95390,0.030796697886298553
race>=0.60_odds100-1000_ev>=1_top75_by_ticket_score,390,28755,73.73076923076923,2875500,2613830,-261670,0.909000173882803,0.8758268127282212,49,0.0017040514693096853,0.12564102564102564,0.665444735500165,606.025519040167,600.0,1.8106053058472036,1.0000472788605073,53343.4693877551,95390,0.03649433972370047
race>=0.60_odds100-1000_ev>=1_top75_by_expected_roi,390,28755,73.73076923076923,2875500,2572010,-303490,0.8944566162406538,0.861283255086072,43,0.0014953921057207441,0.11025641025641025,0.665444735500165,664.7489375760737,681.1,1.8571439219621682,1.0000472788605073,59814.186046511626,95390,0.03708772516436561
race>=0.60_odds100-1000_ev>=1_top75_by_value_score,390,28755,73.73076923076923,2875500,2572010,-303490,0.8944566162406538,0.861283255086072,43,0.0014953921057207441,0.11025641025641025,0.665444735500165,664.7489375760737,681.1,1.8571439219621682,1.0000472788605073,59814.186046511626,95390,0.03708772516436561
race>=0.60_odds100-1000_ev>=1_top50_by_ticket_score,390,19500,50.0,1950000,1771950,-178050,0.9086923076923077,0.8597743589743589,35,0.0017948717948717949,0.08974358974358974,0.6653700840469999,554.7749230769231,527.95,1.9401844880408228,1.0000922353876682,50627.142857142855,95390,0.05383334744208358
race>=0.60_odds100-1000_ev>=1_top50_by_expected_roi,390,19500,50.0,1950000,1768530,-181470,0.9069384615384616,0.8580205128205128,28,0.001435897435897436,0.07179487179487179,0.6653700840469999,704.3504923076923,726.9,2.119636186648851,1.0057495247026695,63161.78571428572,95390,0.053937450877282266
race>=0.60_odds100-1000_ev>=1_top50_by_value_score,390,19500,50.0,1950000,1768530,-181470,0.9069384615384616,0.8580205128205128,28,0.001435897435897436,0.07179487179487179,0.6653700840469999,704.3504923076923,726.9,2.119636186648851,1.0057495247026695,63161.78571428572,95390,0.053937450877282266
race>=0.60_odds100-1000_ev>=1_top30_by_expected_roi,390,11700,30.0,1170000,1038460,-131540,0.8875726495726496,0.806042735042735,15,0.001282051282051282,0.038461538461538464,0.6653700840469999,744.9509829059829,769.1500000000001,2.452794088311541,1.2952292679653425,69230.66666666667,95390,0.09185717312173795
race>=0.60_odds100-1000_ev>=1_top30_by_value_score,390,11700,30.0,1170000,1038460,-131540,0.8875726495726496,0.806042735042735,15,0.001282051282051282,0.038461538461538464,0.6653700840469999,744.9509829059829,769.1500000000001,2.452794088311541,1.2952292679653425,69230.66666666667,95390,0.09185717312173795
race>=0.60_odds100-1000_ev>=1_top2_by_expected_roi,390,780,2.0,78000,149170,71170,1.9124358974358975,0.7665384615384615,2,0.002564102564102564,0.005128205128205128,0.6653700840469999,862.008205128205,881.05,3.783183057253536,2.29088804043955,74585.0,89380,0.5991821411812026
race>=0.60_odds100-1000_ev>=1_top2_by_value_score,390,780,2.0,78000,149170,71170,1.9124358974358975,0.7665384615384615,2,0.002564102564102564,0.005128205128205128,0.6653700840469999,862.008205128205,881.05,3.783183057253536,2.29088804043955,74585.0,89380,0.5991821411812026
race>=0.60_odds100-1000_ev>=1_top20_by_ticket_score,390,7800,20.0,780000,592780,-187220,0.7599743589743589,0.6453846153846153,14,0.0017948717948717949,0.035897435897435895,0.6653700840469999,475.1357435897436,428.4,2.082797809935762,1.0000922353876682,42341.42857142857,89380,0.1507810654880394
race>=0.60_odds100-1000_ev>=1_top30_by_ticket_score,390,11700,30.0,1170000,802780,-367220,0.6861367521367522,0.6097435897435898,19,0.001623931623931624,0.04871794871794872,0.6653700840469999,505.4038034188034,462.85,2.041834326310141,1.0000922353876682,42251.57894736842,89380,0.11133810010214505
