rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_ticket_score,min_ticket_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month_min_roi,month_mean_roi,month_count,plus_months,enough_hits
odds_100_500_race>=0.45_score>=0.4_expected>=3000_top5_by_expected_return,1028,4966,4.830739299610895,496600,577880,81280,1.1636729762384213,1.1216069271043092,36,0.00724929520741039,0.03501945525291829,0.5750125612617579,0.4500906629413549,0.45377537080298497,0.4000112752891799,164.9588803866291,163.9,7415.606105912274,20890,0.036149373572367964,0.5071428571428571,1.104860953713687,6,3,True
odds_100_1000_race>=0.45_score>=0.4_expected>=3000_top5_by_expected_return,1028,4966,4.830739299610895,496600,577880,81280,1.1636729762384213,1.1216069271043092,36,0.00724929520741039,0.03501945525291829,0.5750125612617579,0.4500906629413549,0.4537710177739513,0.4000112752891799,165.03445428916632,163.9,7418.555866033823,20890,0.036149373572367964,0.5071428571428571,1.104860953713687,6,3,True
odds_100_500_race>=0.45_score>=0.4_expected>=3000_top2_by_ticket_score,1028,2045,1.9892996108949417,204500,246310,41810,1.2044498777506112,1.118239608801956,21,0.010268948655256724,0.020428015564202335,0.5744499583874105,0.4500906629413549,0.5304752911746193,0.4005393133331908,116.66977995110025,109.3,6163.766827292795,17630,0.0715764686776826,0.4334558823529412,1.1657268681797202,6,4,True
odds_100_1000_race>=0.45_score>=0.4_expected>=3000_top2_by_ticket_score,1028,2045,1.9892996108949417,204500,246310,41810,1.2044498777506112,1.118239608801956,21,0.010268948655256724,0.020428015564202335,0.5744499583874105,0.4500906629413549,0.5304752911746193,0.4005393133331908,116.66977995110025,109.3,6163.766827292795,17630,0.0715764686776826,0.4334558823529412,1.1657268681797202,6,4,True
odds_100_500_race>=0.45_score>=0.4_expected>=5000_top5_by_expected_return,1016,4818,4.7421259842519685,481800,555590,73790,1.1531548360315484,1.1097965960979659,34,0.007056870070568701,0.03346456692913386,0.5752235823312565,0.4500906629413549,0.454300555287914,0.4000112752891799,166.73121627231217,165.2,7499.75124399165,20890,0.03759966882053313,0.5222222222222223,1.1017036808931484,6,3,True
odds_100_1000_race>=0.45_score>=0.4_expected>=5000_top5_by_expected_return,1016,4818,4.7421259842519685,481800,555590,73790,1.1531548360315484,1.1097965960979659,34,0.007056870070568701,0.03346456692913386,0.5752235823312565,0.4500906629413549,0.4542960685419237,0.4000112752891799,166.80911166459111,165.2,7502.791615258485,20890,0.03759966882053313,0.5222222222222223,1.1017036808931484,6,3,True
odds_100_500_race>=0.45_score>=0.3_expected>=3000_top2_by_ticket_score,1043,2083,1.99712368168744,208300,246310,38010,1.1824771963514162,1.097839654344695,21,0.010081613058089293,0.020134228187919462,0.5740186933181893,0.4500906629413549,0.527619599964877,0.300679816638363,116.98060489678349,109.4,6142.557547641342,17630,0.0715764686776826,0.4302919708029197,1.1429225831976082,6,4,True
odds_100_1000_race>=0.45_score>=0.3_expected>=3000_top2_by_ticket_score,1043,2083,1.99712368168744,208300,246310,38010,1.1824771963514162,1.097839654344695,21,0.010081613058089293,0.020134228187919462,0.5740186933181893,0.4500906629413549,0.527619599964877,0.300679816638363,116.98060489678349,109.4,6142.557547641342,17630,0.0715764686776826,0.4302919708029197,1.1429225831976082,6,4,True
odds_100_500_race>=0.45_score>=0.2_expected>=3000_top2_by_ticket_score,1046,2091,1.9990439770554493,209100,246310,37210,1.1779531324725012,1.0936394069823052,21,0.010043041606886656,0.020076481835564052,0.5736844373387159,0.4500906629413549,0.5266513182030967,0.2483931425008608,117.0900526064084,109.4,6134.167612583939,17630,0.0715764686776826,0.4302919708029197,1.1365598349791493,6,4,True
odds_100_1000_race>=0.45_score>=0.2_expected>=3000_top2_by_ticket_score,1046,2091,1.9990439770554493,209100,246310,37210,1.1779531324725012,1.0936394069823052,21,0.010043041606886656,0.020076481835564052,0.5736844373387159,0.4500906629413549,0.5266513182030967,0.2483931425008608,117.0900526064084,109.4,6134.167612583939,17630,0.0715764686776826,0.4302919708029197,1.1365598349791493,6,4,True
