rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_ticket_score,min_ticket_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month
odds_100_500_race>=0.35_score>=0.2_expected>=3000_top1_by_ticket_score,404,404,1.0,40400,44530,4130,1.1022277227722772,0.7797029702970297,4,0.009900990099009901,0.009900990099009901,0.4394578486739512,0.3501978346358184,0.5482165054454116,0.3828906315196398,112.04579207920793,106.9,6119.7544764046925,13030,0.29261172243431394,2026-01
odds_100_500_race>=0.35_score>=0.2_expected>=3000_top1_by_ticket_score,418,418,1.0,41800,10120,-31680,0.24210526315789474,0.0,1,0.0023923444976076554,0.0023923444976076554,0.4495969440851948,0.3500651787682592,0.5424791364011705,0.3237626087415642,113.18971291866029,107.95,6118.725933358187,10120,1.0,2026-02
odds_100_500_race>=0.35_score>=0.2_expected>=3000_top1_by_ticket_score,522,522,1.0,52200,42450,-9750,0.8132183908045977,0.5954022988505747,4,0.007662835249042145,0.007662835249042145,0.4669611077200829,0.3502077801641641,0.5437447100424558,0.372608108860855,113.25842911877395,107.3,6145.196661904715,11370,0.2678445229681979,2026-03
odds_100_500_race>=0.35_score>=0.2_expected>=3000_top1_by_ticket_score,457,457,1.0,45700,31240,-14460,0.6835886214442013,0.4485776805251641,3,0.006564551422319475,0.006564551422319475,0.4352830142232827,0.3500368422753134,0.5483506402451802,0.300679816638363,113.23632385120351,107.8,6184.035981784008,10740,0.3437900128040973,2026-04
odds_100_500_race>=0.35_score>=0.2_expected>=3000_top1_by_ticket_score,498,498,1.0,49800,90450,40650,1.8162650602409638,1.5313253012048194,8,0.01606425702811245,0.01606425702811245,0.4648507238194497,0.3500441223711724,0.538497930521753,0.2034711115545832,113.36927710843374,106.7,6076.76831547822,14190,0.1568822553897181,2026-05
odds_100_500_race>=0.35_score>=0.2_expected>=3000_top1_by_ticket_score,442,442,1.0,44200,11540,-32660,0.26108597285067875,0.0,1,0.0022624434389140274,0.0022624434389140274,0.47377333479969674,0.350224717228412,0.5411518482277303,0.3407717148255539,114.51312217194571,107.75,6172.870839196829,11540,1.0,2026-06
odds_100_500_race>=0.35_score>=0.2_expected>=3000_top2_by_ticket_score,404,808,2.0,80800,64990,-15810,0.8043316831683168,0.6430693069306931,6,0.007425742574257425,0.01485148514851485,0.4394578486739514,0.3501978346358184,0.5326889638178933,0.3331282663002098,114.88948019801981,108.75,6088.551242851236,13030,0.2004923834436067,2026-01
odds_100_500_race>=0.35_score>=0.2_expected>=3000_top2_by_ticket_score,418,836,2.0,83600,78040,-5560,0.9334928229665072,0.7924641148325359,7,0.008373205741626795,0.01674641148325359,0.4495969440851948,0.3500651787682592,0.5285125683557922,0.3138790849907354,115.0318181818182,109.2,6054.002102140922,11790,0.15107637109174782,2026-02
odds_100_500_race>=0.35_score>=0.2_expected>=3000_top2_by_ticket_score,522,1044,2.0,104400,87550,-16850,0.8386015325670498,0.7260536398467433,8,0.007662835249042145,0.01532567049808429,0.466961107720083,0.3502077801641641,0.5294083248070955,0.3333272720679571,116.67729885057472,109.3,6148.3305751551015,11750,0.1342090234151913,2026-03
odds_100_500_race>=0.35_score>=0.2_expected>=3000_top2_by_ticket_score,457,913,1.9978118161925602,91300,86990,-4310,0.9527929901423877,0.7981380065717415,8,0.008762322015334063,0.0175054704595186,0.4351906691465351,0.3500368422753134,0.5335451068781452,0.2828849177850872,114.84589266155531,108.5,6097.637662327599,14120,0.1623175077595126,2026-04
