place,race_date_id,race_count
aomori,12202606250100,7
aomori,12202606250200,7
aomori,12202606250300,7
toride,23202606270100,12
toride,23202606270200,12
matsudo,31202606250100,12
matsudo,31202606250200,12
matsudo,31202606250300,12
gifu,43202606270100,7
gifu,43202606270200,7
ogaki,44202606250100,7
ogaki,44202606250200,7
ogaki,44202606250300,7
toyama,46202606250100,12
toyama,46202606250200,12
toyama,46202606250300,12
hiroshima,62202606260100,7
hiroshima,62202606260200,7
hiroshima,62202606260300,7
komatsushima,73202606250100,7
komatsushima,73202606250200,7
komatsushima,73202606250300,7
kokura,81202606260100,12
kokura,81202606260200,12
kokura,81202606260300,12
