place,race_date_id,race_count,error
utsunomiya,24202506090100,12,"""PermissionError(13"
utsunomiya,24202603090200,12,"ValueError('No tables found')"
omiya,25202503190100,12,"ValueError('No tables found')"
seibuen,26202402040200,12,"ValueError('No tables found')"
ito,37202602070200,12,"ValueError('No tables found')"
ito,37202602070201,12,"ValueError('No tables found')"
fukui,51202309210200,12,"ValueError('No tables found')"
wakayama,55202301230300,12,"ValueError('No tables found')"
hofu,63202502060300,12,"ValueError('No tables found')"
hofu,63202502060301,12,"ValueError('No tables found')"
kochi,74202605310300,12,"ValueError('No tables found')"
kurume,83202301230200,12,"ValueError('No tables found')"
takeo,84202408270300,12,"ValueError('No tables found')"
sasebo,85202411010200,12,"ValueError('No tables found')"
beppu,86202301230300,12,"ValueError('No tables found')"
kumamoto,87202408270300,12,"ValueError('No tables found')"
