model,target,auc,rule,selected_races,selected_rate,avg_score,avg_payout,median_payout,max_payout,over_30_rate,over_50_rate,over_100_rate,target_hit_rate
logistic,is_over_50,0.613640987862389,ALL,13320,1.0,0.4749354470918372,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
logistic,is_over_50,0.613640987862389,top_1pct,133,0.009984984984984985,0.8197411495432306,28604.736842105263,11790.0,332500,0.2631578947368421,0.17293233082706766,0.045112781954887216,0.17293233082706766
logistic,is_over_50,0.613640987862389,top_3pct,399,0.029954954954954954,0.7940317601919534,29039.598997493733,9590.0,704460,0.23809523809523808,0.14786967418546365,0.05012531328320802,0.14786967418546365
logistic,is_over_50,0.613640987862389,top_5pct,666,0.05,0.7754996872786727,28631.696696696697,9350.0,1240140,0.22372372372372373,0.13513513513513514,0.04954954954954955,0.13513513513513514
logistic,is_over_50,0.613640987862389,top_10pct,1332,0.1,0.7222863154530379,26460.09009009009,8265.0,1240140,0.20045045045045046,0.12537537537537538,0.0503003003003003,0.12537537537537538
logistic,is_over_50,0.613640987862389,top_20pct,2664,0.2,0.6472383985056046,20295.326576576575,6850.0,1240140,0.15578078078078078,0.09384384384384384,0.03490990990990991,0.09384384384384384
logistic,is_over_50,0.613640987862389,score>=0.30,12543,0.9416666666666667,0.4894148819749181,13867.691939727338,4070.0,1240140,0.10061388822450769,0.05915650163437774,0.02192457944670334,0.05915650163437774
logistic,is_over_50,0.613640987862389,score>=0.40,10164,0.763063063063063,0.5199991393402473,14920.384691066509,4560.0,1240140,0.11088154269972451,0.06493506493506493,0.023809523809523808,0.06493506493506493
logistic,is_over_50,0.613640987862389,score>=0.50,5000,0.37537537537537535,0.5885686013691478,17363.862,5855.0,1240140,0.134,0.0782,0.0262,0.0782
logistic,is_over_50,0.613640987862389,score>=0.60,1451,0.10893393393393394,0.7126335039113771,25329.84148862853,8050.0,1240140,0.18952446588559613,0.11784975878704342,0.04686423156443832,0.11784975878704342
random_forest,is_over_50,0.6272304099886111,ALL,13320,1.0,0.25902739024544896,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
random_forest,is_over_50,0.6272304099886111,top_1pct,133,0.009984984984984985,0.6269946973250428,25232.330827067668,13190.0,276510,0.2857142857142857,0.14285714285714285,0.045112781954887216,0.14285714285714285
random_forest,is_over_50,0.6272304099886111,top_3pct,399,0.029954954954954954,0.5772752838612522,30303.40852130326,10970.0,778840,0.2581453634085213,0.15538847117794485,0.05764411027568922,0.15538847117794485
