race_id,entry_count,result_count,diff
1120230413030009,7,6,-1
1120230427010011,7,6,-1
1120230427020006,7,5,-2
1120230427030003,7,4,-3
1120230501020005,7,6,-1
1120230513010007,9,8,-1
1120230513010010,9,7,-2
1120230513020004,9,7,-2
1120230513020006,9,8,-1
1120230513020009,9,8,-1
1120230513030011,9,8,-1
1120230513040004,9,7,-2
1120230513040010,9,8,-1
1120230603020012,7,5,-2
1120230622010010,7,3,-4
1120230622020011,7,5,-2
1120230628020004,7,6,-1
1120230628020005,7,5,-2
1120230628030004,7,6,-1
1120230707030006,7,6,-1
1120230715010009,9,8,-1
1120230721030001,7,6,-1
1120230721030002,7,3,-4
1120230729010001,7,6,-1
1120230729010009,7,5,-2
1120230729030008,7,6,-1
1120230812020001,7,6,-1
1120230812020007,7,6,-1
1120230823010001,7,5,-2
1120230830010004,7,6,-1
1120230830030001,7,4,-3
1120230905010003,7,6,-1
1120230905010004,7,5,-2
1120230905030010,7,5,-2
1120230911020005,7,5,-2
1120230911030002,7,6,-1
1120230926020011,7,5,-2
1120231023010004,7,6,-1
1120231023010006,7,4,-3
1120231023020011,7,5,-2
1120240413030005,7,6,-1
1120240418010007,7,5,-2
1120240423020009,7,5,-2
1120240501010004,7,6,-1
1120240501010007,7,5,-2
1120240501030003,6,4,-2
1120240509030003,7,4,-3
1120240516040002,9,6,-3
1120240516040012,9,7,-2
1120240524010007,7,6,-1
1120240524020006,6,4,-2
1120240524020008,7,5,-2
1120240524030008,7,6,-1
1120240606030012,9,7,-2
1120240606040006,9,6,-3
1120240804010001,7,5,-2
1120240804030002,7,6,-1
1120240810010004,7,5,-2
1120240810020001,6,5,-1
1120240810030008,7,6,-1
1120240819010008,7,5,-2
1120240825010003,7,5,-2
1120240825020003,6,5,-1
1120240912030002,7,6,-1
1120240912030010,7,0,-7
1120240918010005,7,6,-1
1120240923020002,7,6,-1
1120240923030010,7,5,-2
1120241001020001,7,5,-2
1120241001020002,7,4,-3
1120241001020003,7,4,-3
1120241001020011,7,6,-1
1120241018010001,7,5,-2
1120241018010006,7,3,-4
1120241028010008,7,6,-1
1120250416020009,7,6,-1
1120250416030003,7,5,-2
1120250416030008,7,6,-1
1120250502020006,7,6,-1
1120250502030012,7,6,-1
1120250514010001,7,5,-2
1120250519020006,7,5,-2
1120250602010010,7,6,-1
1120250602010011,7,6,-1
1120250607010004,7,6,-1
1120250607020004,7,6,-1
1120250701020006,7,2,-5
1120250701030006,7,5,-2
1120250708020009,7,5,-2
1120250708020010,7,5,-2
1120250713020006,7,4,-3
1120250713020008,7,6,-1
1120250713030008,7,6,-1
1120250722010009,7,6,-1
1120250722020002,7,6,-1
1120250722020004,7,6,-1
1120250722020011,7,6,-1
1120250812010002,9,6,-3
1120250812010003,9,8,-1
1120250812010006,9,8,-1
1120250812020002,9,8,-1
1120250812020003,9,6,-3
1120250812020008,9,8,-1
1120250812060010,9,8,-1
1120250908020003,7,6,-1
1120250908030005,7,6,-1
1120250929030002,7,5,-2
1120250929030005,7,6,-1
1120250929030010,7,5,-2
1120251004030006,7,6,-1
1120251011010001,7,5,-2
1120251011010002,7,6,-1
1120251011010003,7,5,-2
1120251011030006,7,5,-2
1120251023010007,7,6,-1
1120251023010009,7,5,-2
1120251023020008,7,6,-1
1120251023030001,7,4,-3
1120260409010010,7,6,-1
1120260419010004,7,6,-1
1120260425010003,7,1,-6
1120260425030004,7,6,-1
1120260430010004,7,5,-2
1120260430010009,7,5,-2
1120260430020001,7,6,-1
1120260430030010,7,5,-2
1120260507010008,7,6,-1
1120260507020009,7,4,-3
1120260514010007,9,8,-1
1120260514020009,9,8,-1
1120260514030001,9,6,-3
1120260514030012,9,5,-4
1120260523020004,7,5,-2
1120260523020007,7,0,-7
1120260530010002,7,6,-1
1120260530020006,7,6,-1
1120260530030001,5,4,-1
1120260605010004,7,6,-1
1120260605020001,5,3,-2
1120260614010001,7,4,-3
1120260620030003,7,6,-1
1120260620030005,7,5,-2
1220230605020006,7,6,-1
