race_id,car_no,raw_finish_position,finish_status_detail,exception_name_from_html,exception_margin,exception_agari,exception_decision,exception_sb,exception_comment
1220230605020006,5,失,disqualified,坂本智哉,,,,,
1220230605030004,3,欠,absent,沢田勇治,,,,,
1220230610010006,1,,unknown_exception,小野裕次,,,,,
1220230610010006,2,,unknown_exception,樋口絢土,,,,,
1220230610010006,3,,unknown_exception,梅田加津也,,,,,
1220230610010006,4,,unknown_exception,高鍋邦彰,,,,,
1220230610010006,5,,unknown_exception,永田修一,,,,,
1220230610010006,6,,unknown_exception,赤星俊光,,,,,
1220230610010006,7,,unknown_exception,藤本龍也,,,,,
1220230622020002,2,欠,absent,亀井道佳,,,,,
1220230627010003,7,落,crash,宮司周郎,,,,,
1220230627020004,2,失,disqualified,川木敬大,,,,,
1220230702010002,2,欠,absent,伊早坂駿一,,,,,当日欠場し
1220230702020002,2,落,crash,田中勝仁,,,,,押上げられ
1220230702020002,1,失,disqualified,伊藤奎,,,,S,外張り３失
1220230702030004,1,落,crash,堂村知哉,,,,S,
1220230702030004,4,落,crash,伊藤成紀,,,,,
1220230702030004,2,失,disqualified,岡本英之,,,,,
1220230702030007,6,落,crash,泉慶輔,,,,,
1220230702030007,7,落,crash,染谷幸喜,,,,,
1220230702030011,1,失,disqualified,栗林巧,,,,S,
1220230709020009,6,落,crash,田中陽平,,,,,終Ｈで接触
1220230709020009,4,故,accident_finish,長田祐弥,,,,,落避け後退
1220230709030012,2,失,disqualified,湊聖二,,,,,
1220230719010005,2,落,crash,宇佐見裕輝,,,,,
1220230724010001,4,失,disqualified,中西司,,,,,離れ斜行し
1220230724020006,5,落,crash,保立沙織,,,,,３半乗上げ
1220230724020006,3,失,disqualified,鈴木彩夏,,,,,好位接触し
1220230724030002,2,失,disqualified,櫻川雅彦,,,,,
1220230724030002,6,故,accident_finish,牧田賢也,,,,,
1220230730010004,1,落,crash,阿部晃,,,,,
1220230730010004,6,落,crash,佐藤裕輝,,,,,
1220230730030003,1,欠,absent,木幡幸仁,,,,,
1220230807020001,2,失,disqualified,大島将人,,,,,切替内追抜
1220230807030001,3,落,crash,佐々木健司,,,,S,
1220230807030001,4,失,disqualified,川村昭弘,,,,,
1220230807030003,2,失,disqualified,北村貴幸,,,,,
1220230807030012,2,落,crash,佐々木悠葵,,,,,
1220230807030012,4,落,crash,山賀雅仁,,,,,
1220230807030012,6,失,disqualified,阿部拓真,,,,,
1220230812020008,3,失,disqualified,大西健士,,,,,
1220230819010006,5,欠,absent,菱沼元樹,,,,,
1220230819030004,1,失,disqualified,吉田悟,,,,S,
1220230819030007,2,失,disqualified,宮内善光,,,,,
1220230826010002,4,落,crash,平石浩之,,,,,
1220230901030008,7,失,disqualified,堀江省吾,,,,B,
1220230915010003,9,落,crash,佐々木悠葵,,,,,ＨＳで落車
1220230915020003,1,落,crash,伊藤颯馬,,,,,ＨＳで落車
1220230915020003,2,失,disqualified,鈴木庸之,,,,,目標捲られ
1220230915020007,4,落,crash,高橋築,,,,,捲り進まず
1220230915020007,6,落,crash,嶋津拓弥,,,,,単騎で不発
1220230915030005,9,欠,absent,村上博幸,,,,,当日欠場
1220230915030007,3,落,crash,山崎賢人,,,,,叩かれ落車
1220230915030007,9,失,disqualified,島川将貴,,,,,叩くも失格
1220230915030009,2,落,crash,園田匠,,,,,目標が不発
1220230915030012,5,失,disqualified,稲川翔,,,,,先手を追走
1220230929020002,1,落,crash,浦山一栄,,,,,
1220230929020002,2,失,disqualified,井上典善,,,,,
1220231008020003,1,落,crash,鈴木宏章,,,,,
1220231008020003,5,落,crash,望月裕一郎,,,,,
1220231020020007,5,落,crash,大矢崇弘,,,,,鐘過ぎ落車
1220231020020007,7,落,crash,川崎健次,,,,,鐘過ぎ落車
1220231020030003,3,落,crash,佐藤有輝,,,,,
1220231020030003,5,失,disqualified,小笠原昭太,,,,,
1220231028010002,4,失,disqualified,奥森敏,,,,,
