race_id,combination,payout,popularity,result_top3,top3_match
1120230622030007,1-4-2,5890,43,1-4-2-5,False
1120230715020001,5-3-1,1100,6,5-3-1-7,False
1120240912030010,1-7-2,680,2,,False
1120240912030011,1-3-4,2040,5,1-7-2,False
1120240923010001,5-3-1,140,1,5-3-1-2,False
1120250416010012,3-1-5,6070,48,3-1-5-7,False
1120250701020006,1-3-6,900,2,7-4,False
1120260523020007,3-5-6,710,1,,False
1120260523020008,1-4-2,1310,2,3-5-6,False
1120260523020009,5-3-4,8160,23,1-4-2,False
1120260523020010,4-3-2,6740,19,5-3-4,False
1120260523020011,5-2-6,4470,17,4-3-2,False
1220230610010006,1-2-5,320,1,,False
1220230610010007,1-3-6,2070,6,1-2-5,False
1220230610010008,6-3-5,36590,112,1-3-6,False
1220230709010011,5-4-3,1380,6,5-4-3-7,False
1220230826020002,1-2-3,1830,12,1-2-3-4,False
1220231020030001,7-3-1,6550,26,7-3-1-2,False
1220240726020012,2-7-1,5120,26,2-7-1-4,False
1220251027010007,1-5-2,410,1,1-5-2-7,False
1320230325010009,5-7-1,38560,54,,False
1320230325010010,7-1-5,790,3,5-7-1,False
1320230325010011,5-4-1,44760,137,7-1-5,False
1320230918010009,2-1-7,1920,4,,False
1320230918010010,5-1-2,370,1,2-1-7,False
1320230918010011,5-1-3,14570,87,5-1-2,False
1320240430060001,7-3-1,16600,115,7-3-1-5,False
1320240707020003,4-3-1,1940,9,4-3-1-6,False
1320240707020006,2-3-5,830,6,2-3-5-6,False
1320240725010001,1-2-3,1630,5,,False
1320240725010002,1-2-3,1270,3,,False
1320240725010003,1-2-4,8000,28,1-2-3,False
1320240725010005,5-2-6,62500,161,1-2-4,False
1320240808020001,4-1-3,2850,10,,False
1320240808020002,4-1-7,650,1,,False
1320240808020003,5-7-3,5880,21,4-1-3,False
1320240808020004,5-4-7,1880,5,4-1-7,False
1320240808020005,1-3-5,160,1,5-7-3,False
1320241113030009,2-5-1,250,1,2-5-1-6,False
1320250924010004,1-4-3,5260,30,1-4-3-6,False
2120240513010010,7-3-4,220,1,7-3-4-5,False
2120250501010011,6-2-1,13320,104,6-2-1-5,False
2120250527010010,5-7-1,3690,21,5-7-1-3,False
2120250903030001,2-5-1,420,3,2-5-1-3,False
2120251020010008,1-6-2,6140,55,1-6-2-4,False
2120260527010008,2-1-3,4510,28,2-1-3-5,False
2120260622020008,5-2-1,610,1,,False
2120260622020009,6-3-4,4460,11,5-2-1,False
2120260622020010,4-1-5,2770,6,6-3-4,False
2220231123010006,3-2-4,66070,58,,False
2220240119030001,4-3-1,5070,31,4-3-1-5,False
2220240708010004,4-2-3,450,3,4-2-3-7,False
2220241030020001,2-3-1,4300,17,2-3-1-5,False
2220250101010001,3-2-4,580,1,1-5,False
2220250101010002,2-4-3,1600,4,3-2-4,False
2220250101010003,1-3-5,680,3,2-4-3,False
2220250101010004,3-2-1,90670,136,1-3-5,False
2220250101010005,2-4-1,7050,21,3-2-1,False
2220250101010006,6-2-1,39000,78,2-4-1,False
2220250101010007,7-4-3,6890,24,6-2-1,False
2220250101010008,7-2-6,540,2,7-4-3,False
2220250101010009,7-3-1,1790,6,7-2-6,False
2220250101010010,3-5-2,260,1,7-3-1,False
2220250101010011,7-1-3,20550,62,3-5-2,False
2220251227010008,4-2-1,790,3,,False
2320230831030002,2-1-3,15140,81,2-1-3-5,False
2320230925010003,6-3-2,59800,114,6-3-2-4,False
2320231129030007,3-5-1,6860,49,3-5-1-7,False
2320240506020001,2-7-1,2220,17,2-7-1-5,False
2320240524020005,4-7-2,3900,28,4-7-2-5,False
2320240810020008,2-3-7,21210,47,,False
2320240810020009,2-3-6,10580,38,2-3-7,False
2320240810020010,4-2-6,4650,8,2-3-6,False
2320240810020011,1-3-6,7360,16,4-2-6,False
2320250128020004,3-4-2,3440,18,3-4-2-7,False
2320251224010001,4-2-6,6000,17,,False
2320251224010002,3-7-1,160,1,4-2-6,False
2320251224010003,7-2-3,4940,8,3-7-1,False
2320251224010004,5-1-3,410,1,7-2-3,False
2320251224010005,7-1-2,320,1,5-1-3,False
2320251224010006,7-4-2,3580,12,7-1-2,False
2320251224010007,2-4-7,3270,9,7-4-2,False
2320251224010008,5-3-6,870,2,2-4-7,False
2320251224010009,1-5-2,3080,6,5-3-6,False
2320251224010010,7-2-5,2950,6,1-5-2,False
2320260419020005,3-5-1,2650,23,3-5-1-6,False
2320260613020006,4-3-1,27600,133,4-3-1-7,False
2420230122020007,5-2-1,600,5,5-2-1-7,False
2420230205030003,6-3-4,15360,76,6-3-4-7,False
