strategy,race_date,race_id,tickets,bet,ret,hits,profit,cum_profit,peak,drawdown
A_middle_only_100,2026-01-01,2420260101010005,1,100,0.0,0,-100.0,-100.0,-100.0,0.0
A_middle_only_100,2026-01-01,2420260101010007,1,100,0.0,0,-100.0,-200.0,-100.0,-100.0
A_middle_only_100,2026-01-01,5620251231020006,1,100,0.0,0,-100.0,-300.0,-100.0,-200.0
A_middle_only_100,2026-01-01,5620251231020008,1,100,0.0,0,-100.0,-400.0,-100.0,-300.0
A_middle_only_100,2026-01-01,6220251231020002,1,100,0.0,0,-100.0,-500.0,-100.0,-400.0
A_middle_only_100,2026-01-01,8120251230030008,1,100,0.0,0,-100.0,-600.0,-100.0,-500.0
A_middle_only_100,2026-01-02,2220260102010004,1,100,0.0,0,-100.0,-700.0,-100.0,-600.0
A_middle_only_100,2026-01-02,3820260101020006,1,100,0.0,0,-100.0,-800.0,-100.0,-700.0
A_middle_only_100,2026-01-02,4320260102010003,1,100,0.0,0,-100.0,-900.0,-100.0,-800.0
A_middle_only_100,2026-01-02,4520260102010002,1,100,0.0,0,-100.0,-1000.0,-100.0,-900.0
A_middle_only_100,2026-01-02,4720251231030003,1,100,0.0,0,-100.0,-1100.0,-100.0,-1000.0
A_middle_only_100,2026-01-02,4720251231030008,1,100,0.0,0,-100.0,-1200.0,-100.0,-1100.0
A_middle_only_100,2026-01-02,6220251231030002,1,100,0.0,0,-100.0,-1300.0,-100.0,-1200.0
A_middle_only_100,2026-01-02,6220251231030004,1,100,0.0,0,-100.0,-1400.0,-100.0,-1300.0
A_middle_only_100,2026-01-03,2420260101030003,1,100,0.0,0,-100.0,-1500.0,-100.0,-1400.0
A_middle_only_100,2026-01-03,2420260101030004,1,100,0.0,0,-100.0,-1600.0,-100.0,-1500.0
A_middle_only_100,2026-01-03,3620260103010004,1,100,0.0,0,-100.0,-1700.0,-100.0,-1600.0
A_middle_only_100,2026-01-03,3820260101030003,1,100,0.0,0,-100.0,-1800.0,-100.0,-1700.0
A_middle_only_100,2026-01-03,4520260102020007,1,100,0.0,0,-100.0,-1900.0,-100.0,-1800.0
A_middle_only_100,2026-01-03,7420260102020006,1,100,3030.0,1,2930.0,1030.0,1030.0,0.0
A_middle_only_100,2026-01-04,1320260103020003,1,100,0.0,0,-100.0,930.0,1030.0,-100.0
A_middle_only_100,2026-01-04,2220260102030006,1,100,0.0,0,-100.0,830.0,1030.0,-200.0
A_middle_only_100,2026-01-04,2820260104010001,1,100,0.0,0,-100.0,730.0,1030.0,-300.0
A_middle_only_100,2026-01-04,2820260104010006,1,100,0.0,0,-100.0,630.0,1030.0,-400.0
A_middle_only_100,2026-01-04,4520260102030004,1,100,0.0,0,-100.0,530.0,1030.0,-500.0
A_middle_only_100,2026-01-04,4520260102030008,1,100,3000.0,1,2900.0,3430.0,3430.0,0.0
A_middle_only_100,2026-01-04,4520260102030011,1,100,0.0,0,-100.0,3330.0,3430.0,-100.0
A_middle_only_100,2026-01-04,4520260102030012,1,100,0.0,0,-100.0,3230.0,3430.0,-200.0
A_middle_only_100,2026-01-04,8620260104010002,2,200,0.0,0,-200.0,3030.0,3430.0,-400.0
A_middle_only_100,2026-01-04,8620260104010004,1,100,0.0,0,-100.0,2930.0,3430.0,-500.0
A_middle_only_100,2026-01-05,1320260103030003,1,100,0.0,0,-100.0,2830.0,3430.0,-600.0
A_middle_only_100,2026-01-05,4720260105010002,1,100,0.0,0,-100.0,2730.0,3430.0,-700.0
A_middle_only_100,2026-01-05,4720260105010004,1,100,0.0,0,-100.0,2630.0,3430.0,-800.0
A_middle_only_100,2026-01-05,7320260103030001,1,100,0.0,0,-100.0,2530.0,3430.0,-900.0
A_middle_only_100,2026-01-05,7320260103030010,1,100,3030.0,1,2930.0,5460.0,5460.0,0.0
A_middle_only_100,2026-01-06,2820260104030008,1,100,0.0,0,-100.0,5360.0,5460.0,-100.0
A_middle_only_100,2026-01-06,6120260104030005,1,100,0.0,0,-100.0,5260.0,5460.0,-200.0
A_middle_only_100,2026-01-06,8320260106010011,1,100,0.0,0,-100.0,5160.0,5460.0,-300.0
A_middle_only_100,2026-01-07,4320260107010003,1,100,3050.0,1,2950.0,8110.0,8110.0,0.0
A_middle_only_100,2026-01-07,4320260107010004,1,100,0.0,0,-100.0,8010.0,8110.0,-100.0
A_middle_only_100,2026-01-07,4320260107010008,1,100,0.0,0,-100.0,7910.0,8110.0,-200.0
A_middle_only_100,2026-01-07,4420260105030004,1,100,0.0,0,-100.0,7810.0,8110.0,-300.0
A_middle_only_100,2026-01-07,8320260106020006,1,100,0.0,0,-100.0,7710.0,8110.0,-400.0
A_middle_only_100,2026-01-08,4320260107020002,1,100,0.0,0,-100.0,7610.0,8110.0,-500.0
A_middle_only_100,2026-01-08,6220260107020004,1,100,0.0,0,-100.0,7510.0,8110.0,-600.0
A_middle_only_100,2026-01-08,6220260107020005,1,100,0.0,0,-100.0,7410.0,8110.0,-700.0
A_middle_only_100,2026-01-08,8120260108010007,1,100,0.0,0,-100.0,7310.0,8110.0,-800.0
A_middle_only_100,2026-01-08,8320260106030004,1,100,0.0,0,-100.0,7210.0,8110.0,-900.0
A_middle_only_100,2026-01-09,2720260109010010,1,100,0.0,0,-100.0,7110.0,8110.0,-1000.0
A_middle_only_100,2026-01-09,3520260108020001,1,100,0.0,0,-100.0,7010.0,8110.0,-1100.0
A_middle_only_100,2026-01-09,3520260108020007,1,100,0.0,0,-100.0,6910.0,8110.0,-1200.0
A_middle_only_100,2026-01-09,5520260109010001,1,100,0.0,0,-100.0,6810.0,8110.0,-1300.0
A_middle_only_100,2026-01-09,5520260109010007,1,100,0.0,0,-100.0,6710.0,8110.0,-1400.0
A_middle_only_100,2026-01-09,5520260109010009,1,100,0.0,0,-100.0,6610.0,8110.0,-1500.0
A_middle_only_100,2026-01-09,8120260108020003,1,100,0.0,0,-100.0,6510.0,8110.0,-1600.0
A_middle_only_100,2026-01-10,2720260109020004,1,100,0.0,0,-100.0,6410.0,8110.0,-1700.0
A_middle_only_100,2026-01-10,2720260109020012,1,100,0.0,0,-100.0,6310.0,8110.0,-1800.0
A_middle_only_100,2026-01-10,5520260109020007,1,100,0.0,0,-100.0,6210.0,8110.0,-1900.0
A_middle_only_100,2026-01-10,5520260109020008,2,200,0.0,0,-200.0,6010.0,8110.0,-2100.0
A_middle_only_100,2026-01-10,6120260109020006,1,100,0.0,0,-100.0,5910.0,8110.0,-2200.0
A_middle_only_100,2026-01-11,2720260109030006,1,100,0.0,0,-100.0,5810.0,8110.0,-2300.0
A_middle_only_100,2026-01-11,2720260109030008,1,100,0.0,0,-100.0,5710.0,8110.0,-2400.0
A_middle_only_100,2026-01-11,3120260111010001,1,100,0.0,0,-100.0,5610.0,8110.0,-2500.0
A_middle_only_100,2026-01-11,3120260111010005,1,100,0.0,0,-100.0,5510.0,8110.0,-2600.0
A_middle_only_100,2026-01-11,5520260109030012,1,100,0.0,0,-100.0,5410.0,8110.0,-2700.0
A_middle_only_100,2026-01-11,6120260109030006,1,100,0.0,0,-100.0,5310.0,8110.0,-2800.0
