strategy,month,races,tickets,bet,return,profit,roi,roi_wo_max,hits
A_middle_only_100,2026-01,166,174,17400,18140,740,1.042528735632184,0.8672413793103448,6
A_middle_only_100,2026-02,145,150,15000,24290,9290,1.6193333333333333,1.4146666666666667,8
A_middle_only_100,2026-03,136,145,14500,12510,-1990,0.8627586206896551,0.6289655172413793,4
A_middle_only_100,2026-04,152,157,15700,15230,-470,0.9700636942675159,0.7745222929936306,5
A_middle_only_100,2026-05,147,152,15200,15100,-100,0.993421052631579,0.7927631578947368,5
A_middle_only_100,2026-06,108,112,11200,15170,3970,1.3544642857142857,1.08125,5
B_middle100_high50_top5,2026-01,293,865,51950,51925,-25,0.9995187680461982,0.8014436958614052,10
B_middle100_high50_top5,2026-02,278,808,47900,40975,-6925,0.855427974947808,0.6744258872651357,10
B_middle100_high50_top5,2026-03,343,1218,68150,114415,46265,1.6788701393983858,1.533969185619956,17
B_middle100_high50_top5,2026-04,287,843,50000,54230,4230,1.0846,0.8854,10
B_middle100_high50_top5,2026-05,329,1091,62150,48730,-13420,0.784070796460177,0.6641995172968624,10
B_middle100_high50_top5,2026-06,290,1031,57150,79105,21955,1.38416447944007,1.2013998250218723,12
C_middle100_high100_top5,2026-01,293,865,86500,85710,-790,0.9908670520231214,0.7529479768786127,10
C_middle100_high100_top5,2026-02,278,808,80800,57660,-23140,0.7136138613861386,0.499009900990099,10
C_middle100_high100_top5,2026-03,343,1218,121800,216320,94520,1.7760262725779967,1.6138752052545156,17
C_middle100_high100_top5,2026-04,287,843,84300,93230,8930,1.1059311981020166,0.8696322657176749,10
C_middle100_high100_top5,2026-05,329,1091,109100,82360,-26740,0.754903758020165,0.6183318056828597,10
C_middle100_high100_top5,2026-06,290,1031,103100,143040,39940,1.3873908826382153,1.184772065955383,12
D_middle100_high100_top5_race>=0.50,2026-01,246,606,60600,56330,-4270,0.9295379537953795,0.5899339933993399,8
D_middle100_high100_top5_race>=0.50,2026-02,254,686,68600,40320,-28280,0.5877551020408164,0.35408163265306125,9
D_middle100_high100_top5_race>=0.50,2026-03,298,975,97500,118210,20710,1.2124102564102563,1.0098461538461538,11
D_middle100_high100_top5_race>=0.50,2026-04,251,649,64900,67480,2580,1.039753466872111,0.7328197226502311,8
D_middle100_high100_top5_race>=0.50,2026-05,286,868,86800,82360,-4440,0.9488479262672811,0.7771889400921659,10
D_middle100_high100_top5_race>=0.50,2026-06,263,900,90000,127440,37440,1.416,1.183888888888889,11
D_middle100_high100_top5_race>=0.55,2026-01,214,430,43000,38720,-4280,0.9004651162790698,0.42186046511627906,7
D_middle100_high100_top5_race>=0.55,2026-02,223,535,53500,24290,-29210,0.45401869158878505,0.39663551401869157,8
D_middle100_high100_top5_race>=0.55,2026-03,258,754,75400,90440,15040,1.1994694960212202,0.9375331564986737,9
D_middle100_high100_top5_race>=0.55,2026-04,211,456,45600,50230,4630,1.1015350877192982,0.6646929824561404,7
D_middle100_high100_top5_race>=0.55,2026-05,263,745,74500,82360,7860,1.105503355704698,0.905503355704698,10
D_middle100_high100_top5_race>=0.55,2026-06,233,754,75400,88920,13520,1.1793103448275861,0.9115384615384615,9
D_middle100_high100_top5_race>=0.60,2026-01,196,328,32800,18140,-14660,0.5530487804878049,0.4600609756097561,6
D_middle100_high100_top5_race>=0.60,2026-02,200,418,41800,24290,-17510,0.5811004784688996,0.5076555023923445,8
D_middle100_high100_top5_race>=0.60,2026-03,218,551,55100,79070,23970,1.43502722323049,1.0765880217785844,8
D_middle100_high100_top5_race>=0.60,2026-04,178,287,28700,35150,6450,1.2247386759581882,0.5306620209059233,6
D_middle100_high100_top5_race>=0.60,2026-05,238,620,62000,70420,8420,1.1358064516129032,0.895483870967742,9
D_middle100_high100_top5_race>=0.60,2026-06,199,580,58000,53930,-4070,0.9298275862068965,0.5817241379310345,7
E_middle100_high100_top2_expected,2026-01,293,455,45500,38720,-6780,0.850989010989011,0.3986813186813187,7
E_middle100_high100_top2_expected,2026-02,278,422,42200,41630,-570,0.9864928909952607,0.5755924170616113,9
E_middle100_high100_top2_expected,2026-03,343,588,58800,70000,11200,1.1904761904761905,0.8545918367346939,7
E_middle100_high100_top2_expected,2026-04,287,439,43900,46600,2700,1.061503416856492,0.6685649202733486,7
E_middle100_high100_top2_expected,2026-05,329,546,54600,30000,-24600,0.5494505494505495,0.2765567765567766,6
E_middle100_high100_top2_expected,2026-06,290,485,48500,53420,4920,1.1014432989690721,0.6956701030927835,7
F_middle100_high100_top2_score,2026-01,293,455,45500,49640,4140,1.090989010989011,0.856043956043956,9
F_middle100_high100_top2_score,2026-02,278,422,42200,36080,-6120,0.8549763033175355,0.5755924170616113,9
F_middle100_high100_top2_score,2026-03,343,588,58800,56340,-2460,0.9581632653061225,0.7602040816326531,8
F_middle100_high100_top2_score,2026-04,287,439,43900,49620,5720,1.1302961275626424,0.8086560364464692,8
F_middle100_high100_top2_score,2026-05,329,546,54600,95460,40860,1.7483516483516484,1.4884615384615385,12
F_middle100_high100_top2_score,2026-06,290,485,48500,59610,11110,1.2290721649484535,0.8655670103092783,8
