rule,race_count,tickets,bet,return,profit,roi,hit_count,hit_rate_per_race,avg_hit_payout,max_hit_payout
race_score>=0.50_top_10,793,7930,793000,601070,-191930,0.7579697351828499,99,0.12484237074401008,6071.414141414141,85380
top_5_per_race,13320,66600,6660000,4966960,-1693040,0.7457897897897898,2310,0.17342342342342343,2150.1991341991343,53880
top_20_per_race,13320,266400,26640000,19843820,-6796180,0.7448881381381381,5567,0.41794294294294293,3564.544638045626,90720
top_3_per_race,13320,39960,3996000,2969290,-1026710,0.7430655655655656,1598,0.11996996996996998,1858.1289111389237,34440
top_10_per_race,13320,133200,13320000,9737640,-3582360,0.7310540540540541,3703,0.278003003003003,2629.6624358628137,85380
top_30_per_race,13320,399594,39959400,28970870,-10988530,0.7250076327472385,6775,0.5086336336336337,4276.143173431734,274850
race_score>=0.50_top_20,793,15860,1586000,1129650,-456350,0.7122635561160151,170,0.21437578814627994,6645.0,85380
race_score>=0.50_top_50,793,39650,3965000,2760710,-1204290,0.6962698612862547,313,0.39470365699873894,8820.159744408946,128310
top_50_per_race,13320,665974,66597400,46279870,-20317530,0.694920071954761,8520,0.6396396396396397,5431.909624413145,274850
race_score>=0.50_top_30,793,23790,2379000,1622410,-756590,0.6819714165615804,217,0.27364438839848676,7476.5437788018435,89380
top_100_per_race,13320,1325604,132560400,89607700,-42952700,0.6759763851044505,11094,0.8328828828828829,8077.131782945737,431390
race_score>=0.60_top_10,390,3900,390000,256070,-133930,0.6565897435897435,36,0.09230769230769231,7113.055555555556,59790
race_score>=0.60_top_30,390,11700,1170000,758180,-411820,0.6480170940170941,84,0.2153846153846154,9025.952380952382,89380
race_score>=0.55_top_50,575,28750,2875000,1861530,-1013470,0.6474886956521739,208,0.3617391304347826,8949.663461538461,128310
race_score>=0.55_top_10,575,5750,575000,368640,-206360,0.6411130434782609,59,0.10260869565217391,6248.135593220339,59790
race_score>=0.60_top_50,390,19500,1950000,1209260,-740740,0.6201333333333333,127,0.32564102564102565,9521.732283464567,89380
race_score>=0.55_top_20,575,11500,1150000,705940,-444060,0.6138608695652173,107,0.18608695652173912,6597.570093457944,59790
race_score>=0.60_top_20,390,7800,780000,475080,-304920,0.6090769230769231,66,0.16923076923076924,7198.181818181818,59790
race_score>=0.55_top_30,575,17250,1725000,1042810,-682190,0.604527536231884,135,0.23478260869565218,7724.518518518518,89380
race_score>=0.65_top_50,241,12050,1205000,673860,-531140,0.5592199170124481,77,0.31950207468879666,8751.42857142857,45010
race_score>=0.65_top_30,241,7230,723000,335280,-387720,0.4637344398340249,47,0.1950207468879668,7133.617021276596,43200
race_score>=0.65_top_20,241,4820,482000,215870,-266130,0.4478630705394191,35,0.14522821576763487,6167.714285714285,43200
race_score>=0.65_top_10,241,2410,241000,105840,-135160,0.4391701244813278,23,0.0954356846473029,4601.739130434783,15020
